,NCBI Taxon ID,envelope,circular,double_stranded,rna,segmented,positive_sense,negative_sense
75,1955137,1.0,0.0,0.0,1.0,1.0,0.0,1.0
76,3059946,0.0,1.0,1.0,0.0,0.0,0.0,0.0
77,3059936,0.0,1.0,1.0,0.0,0.0,0.0,0.0
78,3059940,0.0,1.0,1.0,0.0,0.0,0.0,0.0
79,3059942,0.0,1.0,1.0,0.0,0.0,0.0,0.0
80,3059938,0.0,1.0,1.0,0.0,0.0,0.0,0.0
81,3059916,0.0,1.0,1.0,0.0,0.0,0.0,0.0
82,3059924,0.0,1.0,1.0,0.0,0.0,0.0,0.0
83,2873951,0.0,1.0,1.0,0.0,0.0,0.0,0.0
84,2873952,0.0,1.0,1.0,0.0,0.0,0.0,0.0
85,2956303,,,,,,,
86,2560644,0.0,0.0,0.0,1.0,0.0,1.0,0.0
87,3052810,1.0,0.0,1.0,1.0,1.0,0.0,0.0
88,2734404,1.0,0.0,0.0,1.0,3.0,0.0,1.0
89,3048261,0.0,1.0,1.0,0.0,0.0,0.0,0.0
90,2956349,1.0,0.0,0.0,1.0,1.0,0.0,1.0
91,694014,1.0,0.0,0.0,1.0,0.0,1.0,0.0
92,2569586,1.0,0.0,0.0,1.0,0.0,1.0,0.0
93,400570,1.0,0.0,1.0,0.0,3.0,0.0,0.0
94,1146876,0.0,0.0,1.0,0.0,0.0,0.0,0.0
95,2560612,0.0,0.0,0.0,1.0,0.0,1.0,0.0
96,3052400,1.0,0.0,0.0,1.0,1.0,0.0,1.0
97,3052421,1.0,0.0,0.0,1.0,1.0,0.0,1.0
98,2109374,,,,,,,
99,2109373,,,,,,,
100,1930304,0.0,0.0,1.0,1.0,1.0,0.0,0.0
101,1634476,0.0,1.0,1.0,0.0,0.0,0.0,0.0
102,2094713,0.0,1.0,1.0,0.0,3.0,0.0,0.0
103,3051984,0.0,0.0,1.0,0.0,3.0,0.0,0.0
104,3047745,0.0,1.0,1.0,0.0,0.0,0.0,0.0
105,272636,0.0,0.0,1.0,0.0,3.0,0.0,0.0
106,2734539,0.0,0.0,0.0,1.0,0.0,1.0,0.0
107,2844806,0.0,1.0,1.0,0.0,0.0,0.0,0.0
108,3052539,1.0,0.0,0.0,1.0,1.0,0.0,1.0
109,3051369,1.0,0.0,0.0,1.0,3.0,0.0,1.0
110,2099352,0.0,0.0,0.0,1.0,0.0,1.0,0.0
111,2364132,1.0,1.0,0.0,1.0,3.0,0.0,1.0
112,574549,1.0,0.0,0.0,1.0,0.0,1.0,0.0
113,1548721,1.0,0.0,0.0,1.0,3.0,0.0,1.0
114,1972581,1.0,0.0,0.0,1.0,3.0,0.0,1.0
115,1511772,0.0,0.0,0.0,1.0,0.0,1.0,0.0
116,1755590,0.0,0.0,0.0,1.0,0.0,1.0,0.0
117,190065,0.0,0.0,1.0,0.0,0.0,0.0,0.0
118,3047744,0.0,1.0,1.0,0.0,0.0,0.0,0.0
119,2170005,0.0,0.0,0.0,1.0,0.0,1.0,0.0
120,2170008,0.0,0.0,0.0,1.0,0.0,1.0,0.0
121,3051366,1.0,0.0,0.0,1.0,3.0,0.0,1.0
122,3051378,1.0,0.0,0.0,1.0,3.0,0.0,1.0
123,3051379,1.0,0.0,0.0,1.0,3.0,0.0,1.0
124,3051380,1.0,0.0,0.0,1.0,3.0,0.0,1.0
125,3051381,1.0,0.0,0.0,1.0,3.0,0.0,1.0
126,2169709,0.0,0.0,1.0,0.0,0.0,0.0,0.0
127,2955939,0.0,1.0,1.0,0.0,3.0,0.0,0.0
128,2169904,0.0,1.0,1.0,0.0,3.0,0.0,0.0
129,2844965,3.0,1.0,0.0,0.0,0.0,0.0,0.0
130,2844966,3.0,1.0,0.0,0.0,0.0,0.0,0.0
131,3052448,1.0,0.0,0.0,1.0,1.0,0.0,1.0
132,1548713,1.0,0.0,0.0,1.0,3.0,0.0,1.0
133,1884878,1.0,0.0,0.0,1.0,3.0,0.0,1.0
134,3051372,1.0,0.0,0.0,1.0,3.0,0.0,1.0
135,3051374,1.0,0.0,0.0,1.0,3.0,0.0,1.0
