,NCBI Taxon ID,CE_clathrin,CE_receptor,CE_glycoproteins,other
128,2169904,0.0,1.0,0.0,0.0
129,2844965,0.0,0.0,0.0,0.0
130,2844966,0.0,0.0,0.0,0.0
131,3052448,0.0,1.0,0.0,0.0
132,1548713,0.0,0.0,1.0,0.0
133,1884878,0.0,0.0,1.0,0.0
134,3051372,0.0,0.0,1.0,0.0
135,3051374,0.0,0.0,1.0,0.0
136,3051375,0.0,0.0,1.0,0.0
137,3051368,0.0,0.0,1.0,0.0
138,2170006,0.0,1.0,0.0,0.0
139,2059380,0.0,0.0,1.0,0.0
140,1964370,0.0,1.0,0.0,0.0
141,2006642,0.0,1.0,0.0,0.0
142,2018685,0.0,0.0,1.0,0.0
143,3051367,0.0,0.0,1.0,0.0
144,3047812,1.0,0.0,0.0,0.0
145,2170007,0.0,1.0,0.0,0.0
