NCBI Taxon ID,budding,lysis,budding_na,lysis_na,other_release,other_release_na
3117036,0,1,0,0,0,0
3117039,0,1,0,0,0,0
3117274,0,1,0,0,0,0
3117182,0,1,0,0,0,0
3115989,0,1,0,0,0,0
3116726,0,0,0,0,0,1
3116978,0,0,0,0,1,0
3117038,0,1,0,0,0,0
3117279,0,1,0,0,0,0
3117280,0,1,0,0,0,0
3116679,0,0,0,0,0,1
3117081,0,1,0,0,0,0
3116680,0,0,0,0,0,1
3115938,0,0,0,0,1,0
3117184,0,1,0,0,0,0
3117118,0,1,0,0,0,0
3117207,0,1,0,0,0,0
3117231,0,1,0,0,0,0
3117079,0,1,0,0,0,0
3117206,0,1,0,0,0,0
3117276,0,1,0,0,0,0
3117287,0,1,0,0,0,0
3117269,0,1,0,0,0,0
3117205,0,1,0,0,0,0
3115995,0,1,0,0,0,0
3117175,0,1,0,0,0,0
3134257,0,1,0,0,0,0
1702318,0,1,0,0,0,0
44088,0,1,0,0,0,0
3134033,1,0,0,0,0,0
3129245,1,0,0,0,0,0
3129244,1,0,0,0,0,0
3127497,0,1,0,0,0,0
3127498,0,1,0,0,0,0
3127499,0,1,0,0,0,0
3127500,0,1,0,0,0,0
3127501,0,1,0,0,0,0
3127502,0,1,0,0,0,0
11961,1,0,0,0,0,0
928291,0,0,0,0,1,0
3079711,0,0,0,0,1,0
2875327,0,1,0,0,0,0
3112648,0,0,0,0,0,1
3112649,0,0,0,0,0,1
3112650,0,0,0,0,0,1
3112651,0,0,0,0,0,1
3112652,0,0,0,0,0,1
3112653,0,0,0,0,0,1
3112654,0,0,0,0,0,1
3112655,0,0,0,0,0,1
3112656,0,0,0,0,0,1
3112657,0,0,0,0,0,1
3112658,0,0,0,0,0,1
3112659,0,0,0,0,0,1
3112660,0,0,0,0,0,1
3112661,0,0,0,0,0,1
3112662,0,0,0,0,0,1
3112663,0,0,0,0,0,1
3112664,0,0,0,0,0,1
3112667,0,0,0,0,0,1
3112675,0,0,0,0,0,1
3112676,0,0,0,0,0,1
3112677,0,0,0,0,0,1
3112678,0,0,0,0,0,1
3112679,0,0,0,0,0,1
3112680,0,0,0,0,0,1
3112681,0,0,0,0,0,1
3112682,0,0,0,0,0,1
3112683,0,0,0,0,0,1
3112684,0,0,0,0,0,1
3112685,0,0,0,0,1,0
3112686,0,0,0,0,1,0
3112687,0,0,0,0,1,0
3112688,0,0,0,0,0,1
3112689,0,0,0,0,0,1
3112690,0,0,0,0,0,1
3112691,0,0,0,0,0,1
3118410,0,1,0,0,0,0
3064243,1,0,0,0,0,0
1239439,0,0,0,0,1,0
2163008,1,0,0,0,0,0
3113012,0,1,0,0,0,0
3112618,0,0,0,0,1,0
2202624,1,0,0,0,0,0
1517684,0,0,0,0,1,0
11309,1,0,0,0,0,0
3104762,0,1,0,0,0,0
3104763,0,1,0,0,0,0
3104764,0,1,0,0,0,0
3104765,0,1,0,0,0,0
3106067,0,0,0,0,1,0
3106068,0,1,0,0,0,0
3077354,0,0,0,0,1,0
1987106,0,1,0,0,0,0
2809444,0,1,0,0,0,0
3085107,0,1,0,0,0,0
3085108,0,1,0,0,0,0
1891746,0,1,0,0,0,0
3090915,0,1,0,0,0,0
3090916,0,1,0,0,0,0
3090917,0,1,0,0,0,0
3085222,0,1,0,0,0,0
3085220,0,1,0,0,0,0
3085221,0,1,0,0,0,0
3085223,0,1,0,0,0,0
2844802,0,1,0,0,0,0
3042372,0,1,0,0,0,0
336959,0,0,0,0,1,0
3080879,0,0,0,0,1,0
3077833,1,0,0,0,0,0
3074439,0,0,0,0,0,1
3074466,0,1,0,0,0,0
3073259,0,1,0,0,0,0
2809412,0,1,0,0,0,0
3069714,0,1,0,0,0,0
2874388,0,1,0,0,0,0
2992309,1,0,0,0,0,0
3062345,0,1,0,0,0,0
3062346,0,1,0,0,0,0
3062347,0,1,0,0,0,0
2962496,0,0,0,0,1,0
643132,1,0,0,0,0,0
3052416,1,0,0,0,0,0
3051319,1,1,0,0,0,0
2717633,1,0,0,0,0,0
2928393,0,0,0,0,0,1
2794570,0,1,0,0,0,0
3042376,1,0,0,0,0,0
3042448,0,1,0,0,0,0
3042449,0,1,0,0,0,0
2809295,0,1,0,0,0,0
2844803,0,1,0,0,0,0
11021,1,0,0,0,0,0
3040023,0,0,0,0,0,1
2585031,0,0,0,0,0,1
3031139,1,0,0,0,0,0
3031140,1,0,0,0,0,0
3031141,1,0,0,0,0,0
104388,1,0,0,0,0,0
3029445,0,1,0,0,0,0
2593122,0,0,0,0,0,1
3019552,1,1,0,0,0,0
3052381,1,0,0,0,0,0
3021812,0,1,0,0,0,0
3004181,1,0,0,0,0,0
3004182,1,0,0,0,0,0
2996228,0,1,0,0,0,0
2996223,0,1,0,0,0,0
2996224,0,0,0,0,1,0
2996209,0,1,0,0,0,0
2996208,0,1,0,0,0,0
2996214,0,1,0,0,0,0
2996215,0,1,0,0,0,0
2996213,0,1,0,0,0,0
2996226,0,0,0,0,1,0
2996219,0,1,0,0,0,0
2996216,0,1,0,0,0,0
2996211,0,1,0,0,0,0
2996210,0,1,0,0,0,0
2996207,0,1,0,0,0,0
2996218,0,1,0,0,0,0
2996212,0,1,0,0,0,0
2996227,0,0,0,0,1,0
2996217,0,1,0,0,0,0
2996225,0,0,0,0,1,0
2996221,0,1,0,0,0,0
2996220,0,1,0,0,0,0
11886,1,0,0,0,0,0
2956479,1,0,0,0,0,0
2956481,1,0,0,0,0,0
2986276,0,1,0,0,0,0
2875326,0,1,0,0,0,0
2874139,0,1,0,0,0,0
2928890,0,1,0,0,0,0
2809168,0,0,0,0,1,0
2994410,0,1,0,0,0,0
644610,1,0,0,0,0,0
2992313,0,1,0,0,0,0
2987487,0,1,0,0,0,0
2942216,1,1,0,0,0,0
1294098,0,1,0,0,0,0
2986032,0,0,0,0,1,0
2986033,0,0,0,0,1,0
2986034,0,0,0,0,1,0
2986035,0,0,0,0,1,0
2985990,0,0,0,0,0,1
2985991,0,0,0,0,0,1
2985992,0,0,0,0,0,1
2985993,0,0,0,0,0,1
2985994,0,0,0,0,0,1
2985995,0,0,0,0,0,1
2985996,0,0,0,0,0,1
2985997,0,0,0,0,0,1
2985998,0,0,0,0,0,1
2985999,0,0,0,0,0,1
2986000,0,0,0,0,0,1
2986001,0,0,0,0,0,1
2986002,0,0,0,0,0,1
2986003,0,0,0,0,0,1
2986004,0,0,0,0,0,1
2986005,0,0,0,0,0,1
2986006,0,0,0,0,0,1
2986007,0,0,0,0,0,1
2986008,0,0,0,0,0,1
2986009,0,0,0,0,0,1
2986010,0,0,0,0,0,1
2986011,0,0,0,0,0,1
2986012,0,0,0,0,0,1
2986013,0,0,0,0,0,1
2986014,0,0,0,0,0,1
2986015,0,0,0,0,0,1
2986016,0,0,0,0,0,1
2986017,0,0,0,0,0,1
2986018,0,0,0,0,0,1
2986019,0,0,0,0,0,1
2986020,0,0,0,0,0,1
2986021,0,0,0,0,0,1
2986022,0,0,0,0,0,1
2986023,0,0,0,0,0,1
2986024,0,0,0,0,0,1
2986025,0,0,0,0,0,1
2986026,0,0,0,0,0,1
2986027,0,0,0,0,0,1
2986028,0,0,0,0,0,1
2986029,0,0,0,0,0,1
2986030,0,0,0,0,0,1
2983543,1,0,0,0,0,0
2748958,1,0,0,0,0,0
2982300,1,0,0,0,0,0
2976936,0,1,0,0,0,0
2976362,0,0,0,0,1,0
2875246,0,1,0,0,0,0
2875244,0,1,0,0,0,0
2875245,0,1,0,0,0,0
928292,0,0,0,0,1,0
1239438,0,0,0,0,1,0
2585114,0,0,0,0,1,0
2963835,0,1,0,0,0,0
2862777,0,1,0,0,0,0
2855326,0,0,0,0,1,0
1972696,0,1,0,0,0,0
2936950,0,0,0,0,1,0
2936980,0,1,0,0,0,0
2936979,0,0,0,0,1,0
2936949,0,0,0,0,1,0
2936955,0,0,0,0,1,0
2936956,0,0,0,0,1,0
2936957,0,0,0,0,1,0
2936958,0,0,0,0,1,0
2936959,0,0,0,0,1,0
