hostid,host,horder,hfamily,longevity,bodyMass,bodyLength,litterpy,littersize,weaning,gestation,smaturity,georange,nocturnal,diurnal,migratory,status,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,diet_entropy,forest,savanna,shrubland,grassland,wetlands,rocky,desert,cave_subterranean,marine_neritic,marine_oceanic,marine_intertidal,marine_coastal,artifical,habitat_breadth,samplingEffort,evol_dist_fp,evol_dist_es,temp_min,temp_max,temp_avg,rain_min,rain_max,rain_avg,pop,snowice,barren,shrubs,urban,trees_evergreen,trees_deciduous,trees_needle,trees_other,veg_herbal,veg_managed,veg_flooded,crop,pasture,mamdiv,land_cover_entropy,urban_agri_entropy
3443341,neomonachus schauinslandi,carnivora,phocidae,360.0,222999.99,2232.83,0.89,1.0,37.13,344.15,1687.65,284310.8006,1,0,0,wild,30,0,0,70,0,0,0,0,0,0,0.610864302054894,0,0,0,0,0,1,0,0,1,1,1,1,0,5,38126,15.90811016,17.51073608,21.4252,25.6599,23.6543,64.4454,130.928,94.6565,1078854.810281,0.0,0.137430556,0.444375,0.0,1.093263889,0.443472222,0.178263889,0.374930556,0.198055556,0.982152778,0.071319444,0.0,0.0,2.0,1.90173898399559,0.247646956212986
3443349,microtus agrestis,rodentia,cricetidae,57.9,35.87,126.681,3.7,4.8308,13.0,21.0,38.27,10818748.53,1,1,0,wild,0,0,0,0,0,0,0,0,20,80,0.500402423538188,1,0,1,1,1,0,0,0,0,0,0,0,1,5,1148,8.86052091,22.30388184,-14.0391,17.6712,1.3696175,27.3008,75.3234,47.4868166666667,457277391.967501,0.0,3.3696180555,0.2671527775,0.035625,0.0,3.8873958335,12.791944445,27.861631945,0.7503819445,2.831979167,0.464027778,0.0170835,0.010365,44.0,1.34681383006519,0.510269181871928
3443351,abrothrix longipilis,rodentia,cricetidae,24.0,38.86,96.69,4.0,4.845,17.5,25.0,51.73,717949.8986,1,1,0,wild,30,0,0,0,0,0,0,0,0,70,0.610864302054894,1,0,1,1,1,0,0,0,0,0,0,0,0,4,200,8.308543243,15.18847046,1.46956,14.8401,8.16819583333333,10.4986,58.6877,29.9712083333333,12450905.349071,0.003368056,14.71677083,30.854305555,0.0330555555,0.8387152775,0.58625,0.017534722,9.225625,7.796909722,2.6139930555,0.167638889,0.00185,0.4496925,31.0,1.48878146964933,0.654402174035759
3443352,akodon azarae,rodentia,cricetidae,9.99,25.27,182.5,2.0,4.32,14.7,23.7,61.87,1227616.004,1,1,0,wild,80,0,0,0,0,0,0,0,0,20,0.500402423538188,1,0,1,0,1,0,0,0,0,0,0,0,0,3,100,5.246043243,9.144235229,10.6131,24.1829,17.2930333333333,39.2365,134.249,86.3503416666667,35462218.292938,0.0,0.412916667,8.362986111,0.229652778,0.511875,0.945,0.003055556,3.214513889,10.00534722,45.17534722,0.299652778,0.198987,0.376937,44.0,1.16835505280448,0.145162281983214
3443354,akodon cursor,rodentia,cricetidae,12.0,39.84,74.99,6.5,3.0,14.0,23.0,37.0,824145.0874,1,1,0,wild,80,0,0,0,0,0,0,0,0,20,0.500402423538188,1,0,1,0,0,0,0,0,0,0,0,0,0,2,51,4.246043243,5.122117615,19.9276,25.0097,22.812625,23.5119,222.589,107.666866666667,78384937.64121,0.0,0.290138889,6.8740625,0.3669791665,6.3401041665,2.930173611,0.000625,30.804131945,1.8168055555,45.815173615,0.096423611,0.085139,0.3758615,155.0,1.34210616905586,0.120670717792458
3443356,abrothrix olivaceus,rodentia,cricetidae,12.0,24.52,96.69,2.5,5.42,17.5,25.0,170.38,1083345.056,1,1,0,wild,30,0,0,0,0,0,0,0,0,70,0.610864302054894,1,0,1,1,0,0,0,0,0,0,0,0,0,3,439,5.246043243,9.144235229,1.92681,15.3484,8.7383825,8.93226,36.5935,20.7167833333333,13310789.054262,0.0024652775,19.401145835,32.110555555,0.0266319445,0.2275694445,0.26375,0.004097222,7.7109375,7.629340278,1.003298611,0.169375,0.0004945,0.431255,29.0,1.35303353424656,0.955475312873878
3443393,nectomys squamipes,rodentia,cricetidae,31.9,184.98,182.42,4.0,4.315,22.5,30.0,41.1,2344287.567,1,0,0,wild,30,0,20,20,0,0,0,0,0,30,1.3661588475692,0,0,0,0,1,0,0,0,0,0,0,0,0,1,285,15.77854324,23.77694092,20.1079,25.415,23.1821958333333,23.47995,207.072,121.075804166667,120414782.10717,0.0,0.231944444,6.950138889,0.320138889,3.283958333,2.704791667,0.0,22.91986111,2.039722222,47.02479167,0.092986111,0.11043,0.371722,140.0,1.28410496639419,0.115773062946053
3443428,vombatus ursinus,diprotodontia,vombatidae,360.3,26000.0,986.78,0.77,1.0,350.0,27.0,755.15,310427.7693,1,0,0,wild,0,0,0,0,0,0,0,0,0,100,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,62009,33.46431753,31.8921875,7.13004,19.349,13.4001158333333,47.7194,93.7248,71.0897,5507263.981078,0.0,0.030486111,2.639027778,0.909722222,49.78375,4.397708333,0.015694444,7.242847222,5.182291667,14.93118056,0.101319444,0.01601,0.178092,47.0,1.33414143398562,0.322384155193442
3445605,bos frontalis,ruminantia,bovidae,314.4,800143.05,2700.0,1.0,1.22,186.67,273.75,610.97,1370059.961,1,1,0,domestic,0,0,0,0,0,0,0,0,0,100,0.0,1,1,1,1,0,0,0,0,0,0,0,0,1,5,673,6.588308326,7.409582138,19.4365,27.2875,24.2550333333333,7.19516,309.571,121.8725125,182646541.965237,0.0,0.008090278,8.787361111,0.0696180555,27.41440972,5.3721875,0.200347222,15.932881945,0.416770833,26.8534375,0.040798611,0.13177,0.0133805,132.5,1.51261591856045,0.0641303307579363
3445607,bos grunniens,ruminantia,bovidae,315.6,500000.0,3250.0,1.0,1.0,243.33,273.75,755.15,469487.5238,0,1,0,domestic,0,0,0,0,0,0,0,0,0,100,0.0,0,0,0,1,0,1,1,0,0,0,0,0,1,4,3177,6.138308326,5.004791069,-17.89215,6.485785,-5.86747708333333,1.392235,41.0655,14.5061079166667,229863.26426,1.1697916665,55.265243055,6.428090278,0.0,0.0,0.0,0.0017708335,0.199236111,28.18125,2.587152778,0.0011805555,1.95e-05,0.030126,17.5,0.971437535791998,0.0668231451071126
3445613,ovis ammon,ruminantia,bovidae,240.0,113998.72,1585.0,1.0,1.5,76.61,165.0,555.47,3583607.691,1,1,1,wild,0,0,0,0,0,0,0,0,0,100,0.0,1,0,1,1,0,1,1,0,0,0,0,0,0,5,261,4.569887069,3.242005134,-14.2637,10.8601,-1.03694408333333,1.45101,50.3968,21.5220766666667,21899189.299457,0.259375,35.78180556,3.004791667,0.002222222,0.0,0.0,0.007986111,0.1325,38.4625,7.652361111,0.002013889,0.001488,0.366924,42.0,1.09268335615894,0.192344356095275
3445617,axis axis,ruminantia,cervidae,249.6,69499.99,800.0,1.01,1.03,121.66,227.49,543.68,2361358.328,1,1,0,semi_domestic,0,0,0,0,0,0,10,0,0,90,0.325082973391448,1,1,0,1,0,0,0,0,0,0,0,0,1,4,318,9.247487792,10.26291428,20.0925,32.6768,26.1225583333333,4.08629,285.063,85.8392983333333,775820023.465117,0.0,0.059513889,0.773402778,0.489444444,0.038611111,1.596527778,0.003888889,3.750972222,0.542013889,86.55347222,0.006388889,0.585285,0.030568,65.0,0.416207784925681,0.0784790139751144
3445619,dama dama,ruminantia,cervidae,300.0,57224.61,1525.0,1.0,1.14,177.63,230.0,543.28,4018817.542,1,1,1,semi_domestic,0,0,0,0,0,0,0,0,0,100,0.0,1,0,1,1,0,0,0,0,0,0,0,0,1,4,829,9.172487792,10.26291428,-0.537601,18.7615,9.17318128520833,35.7973,84.0492,56.46065,445919603.580489,0.0,7.093680556,0.017361111,1.026041667,0.0,6.767013889,2.690833333,12.07305556,1.302222222,53.31020833,0.04375,0.346551,0.128096,59.0,1.24359976756603,0.154016003309508
3445622,tayassu pecari,suina,tayassuidae,342.0,31798.71,1110.0,1.0,2.0,13.64,158.0,684.67,13750306.72,1,1,0,wild,10,0,0,0,10,0,30,0,30,20,1.50478828368119,1,1,1,1,0,0,0,0,0,0,0,0,0,4,139,29.03629323,35.62651367,24.5595,27.0482,25.8601166666667,29.4919,293.748,153.113683333333,229799857.246363,0.0,0.086944444,1.541111111,0.021875,43.45666667,0.480208333,0.000763889,7.984444444,0.905486111,13.54284722,0.352777778,0.017211,0.131929,158.0,1.08942066166157,0.19102215572262
3445626,lama pacos,tylopoda,camelidae,309.6,78322.67,1724.99,1.0,1.04,213.0,345.0,364.99,17840000.0,0,1,1,domestic,0,0,0,0,0,0,0,0,0,100,0.0,0,0,0,1,0,1,0,0,0,0,0,0,1,3,325882,18.90802787,21.55302734,4.0129,17.6885,10.6361833333333,7.20524,40.2409,21.1726416666667,9229866.895037,0.0,23.47833333,43.54604167,0.034652778,0.09125,0.082361111,0.000555556,6.434166667,3.065069444,0.609722222,0.052013889,0.000793,0.454477,33.0,1.11157864591971,0.95395154988936
3445634,conepatus chinga,carnivora,mephitidae,121.8,3400.0,421.04,2.0,3.5,63.0,60.0,4015.0,5075175.508,1,0,0,wild,80,0,10,0,0,0,10,0,0,0,0.639031859650177,0,1,1,1,0,0,0,0,0,0,0,0,0,3,178,8.406623312,7.39118576,11.7375,24.0129,18.03905,15.094,136.524,71.1668833333333,134534740.826835,0.0,0.841041667,11.10972222,0.147638889,1.865694444,1.311597222,0.000763889,6.650069444,4.264444444,16.22840278,0.135902778,0.048857,0.286107,58.0,1.63536155983828,0.202587045305688
3445636,conepatus leuconotus,carnivora,mephitidae,122.4,3293.91,421.41,2.0,3.5,45.56,60.83,4015.0,2498455.771,1,0,0,wild,80,0,10,0,0,0,10,0,0,0,0.639031859650177,1,0,1,0,0,1,1,0,0,0,0,0,0,4,37,8.406623312,7.39118576,11.9497,26.398,18.9615083333333,7.346575,96.90885,40.2309329166666,107937503.440526,0.0,0.210208333,16.96048611,0.080694444,0.035208333,0.267291667,3.424861111,13.85881944,8.318333333,12.46583333,0.001180556,0.102,0.404004,88.0,1.60237716376153,0.221762250520877
3445643,mephitis macroura,carnivora,mephitidae,104.8,1097.76,307.05,2.0,4.34,55.15,58.2,355.18,1783431.545,1,1,0,wild,20,30,0,0,0,0,20,0,10,20,1.55711309805765,1,0,1,1,0,1,1,0,0,0,0,0,1,6,23,8.339956646,7.34118576,12.8797,25.99385,19.3705333333333,5.58639,125.9715,42.2976033333333,103490765.188473,0.0,0.219861111,19.430034725,0.0678125,0.095625,0.594618056,4.014722222,15.54736111,5.5444791665,11.3571875,0.0015972225,0.0945595,0.316725,94.0,1.58083461785376,0.206006239688483
3445645,mephitis mephitis,carnivora,mephitidae,166.8,2399.99,399.55,2.0,5.1,55.15,63.29,355.18,12271610.07,1,0,0,semi_domestic,20,30,0,0,0,0,20,0,10,20,1.55711309805765,1,0,1,1,0,0,0,0,0,0,0,0,1,4,740,8.339956646,7.34118576,-6.475205,19.7905,6.58350250000001,18.3701,92.0773,48.2617208333333,273951830.493327,0.0,0.20125,1.685416667,0.058055556,0.006388889,0.569027778,7.847430556,14.37194444,6.13375,8.979722222,0.067569444,0.054072,0.061864,52.0,1.57085289803598,0.157486482437334
3445651,spilogale gracilis,carnivora,mephitidae,168.0,612.0,250.0,1.425,5.07,50.0,31.0,152.0,3825446.678,1,0,0,semi_domestic,30,40,0,0,0,0,0,0,0,30,1.08889997534522,1,0,1,1,1,1,0,0,0,0,0,0,1,6,328,9.139956646,8.14118576,2.6498,22.6738,11.7594110083333,9.94738,62.5069,31.4708583333333,69790915.753375,0.0,0.548333333,34.71368056,0.072222222,0.014722222,0.054791667,5.202361111,9.947916667,15.66875,5.462986111,0.001666667,0.031174,0.464465,78.0,1.42890855086263,0.36967218402144
3445653,spilogale putorius,carnivora,mephitidae,126.0,566.49,299.49,1.5,5.0,55.68,32.99,196.96,2979584.848,1,0,0,wild,30,40,0,0,0,0,0,0,0,30,1.08889997534522,1,0,1,1,0,1,0,0,0,0,0,0,0,4,155,9.139956646,8.14118576,0.659375,25.7395,13.29795675,32.6526,119.0415,76.374875,91597789.453097,0.0,0.030277778,0.294791667,0.2949305555,0.026111111,2.1523958335,1.4985069445,8.7131944445,13.03892361,29.120694445,0.0336805555,0.2901085,0.131718,54.0,1.30190266963246,0.146978725964543
3445657,taxidea taxus,carnivora,mustelidae,312.0,7842.15,558.35,0.74,3.0,41.99,43.8,365.0,8851818.096,1,0,0,wild,10,70,20,0,0,0,0,0,0,0,0.801818552543337,1,0,1,1,0,0,0,0,0,0,0,0,0,3,20958,23.8770995,28.65897217,-4.342945,21.3577,8.15343617916666,14.0264,82.0886,39.6564791666666,195670082.278954,0.0,0.254722222,3.643611111,0.061805556,0.009722222,0.260625,3.322847222,9.691736111,13.01722222,12.43680556,0.014583333,0.091273,0.232817,59.0,1.57950342393976,0.171988729069244
3445677,sylvilagus audubonii,lagomorpha,leporidae,93.8,880.88,325.24,5.0,3.0,28.0,29.0,90.7,3652232.575,1,1,0,wild,0,0,0,0,0,0,0,0,0,100,0.0,1,0,1,1,0,0,1,0,0,0,0,0,0,4,72,17.78697333,14.36240234,4.90867,24.5319,14.8345808333333,8.66976,68.5627,32.1151666666667,79280919.713439,0.0,0.387534722,29.9603125,0.062604167,0.013819444,0.006875,2.1158680555,9.117118056,20.82420139,8.9274652775,0.0001388665,0.053616,0.52701,74.0,1.42598996888501,0.286660800947006
3445685,saguinus midas,primates,cebidae,252.0,540.56,264.21,1.4,2.0,69.6,138.24,841.82,863250.6708,0,1,0,wild,40,0,0,0,0,0,30,30,0,0,1.08889997534522,1,1,0,0,0,0,0,0,0,0,0,0,0,2,284,9.48994217,11.22380371,25.6244,27.2704,26.4031583333333,51.2982,363.506,176.658458333333,1813150.019997,0.0,0.0015972225,0.066215278,0.0,97.33704861,0.0009027775,0.0,0.1185416665,0.0665625,0.5110763885,0.371909722,0.0011,0.0014315,188.0,0.0783880683367611,0.700285591401246
3445691,alouatta palliata,primates,atelidae,300.0,6576.99,576.35,0.6,1.02,495.6,185.42,1578.42,567394.5435,0,1,0,wild,0,0,0,0,0,0,40,0,0,60,0.673011667009257,1,0,0,0,0,0,0,0,0,0,0,0,0,1,389,7.925340193,14.79760742,23.5984,26.1524,24.9862666666667,41.7288,357.79,184.8847,24582221.08816,0.0,0.1,0.128298611,0.048125,37.34670139,0.2632986115,0.129166667,3.2164930555,1.3885069445,32.548055555,0.4016319445,0.0922085,0.2508895,152.0,1.02866073560485,0.13925303010165
