Species,NCBI Taxon ID
Condorpox virus,3049970
Apapanepox virus,3049969
bar-headed goose anativirus,3155980
bar-headed goose hepatovirus,3155981
bar-headed goose megrivirus,3155982
Larus ridibundus coronavirus,3153733
Anser fabalis coronavirus,3153734
Duck-dominant coronavirus,1649337
Goose astrovirus 1,2910303
Torque teno virus,68887
Marcaroli circovirus,3138814
Spata circovirus,3138815
Parvovirus phylloscopus5247,3117183
Parvovirus luscinia6815,3117122
Parvovirus phoenicurus4436,3117181
Parvovirus phoenicurus12233s2,3117180
Parvovirus zapornia4554,3117225
Parvovirus laniidae3881,3117115
Parvovirus lanius6615,3117116
Herpesvirus eupittula14478,3116695
Parvovirus chrysococcyx3867a,3117070
Parvovirus turdus6774,3117217
Adenovirus acanthiza15342,3115873
Parvovirus turdus4154,3117216
Parvovirus phylloscopus5401s2,3117185
Polyomavirus odontophorus5057,3117261
Parvovirus grus5099,3117098
Polyomavirus phylloscopus4853,3117270
Parvovirus anas3568,3117034
Parvovirus sylvia4828,3117208
Parvovirus leiothrix4587,3117119
Parvovirus numida6704,3117160
Parvovirus emberiza5140,3117078
Polyomavirus erythrura5304,3117230
Parvovirus luscinia5410,3117121
Papillomavirus numida8051,3116987
Polyomavirus taeniopygia5555,3117282
Parvovirus zonotrichia4755,3117226
Parvovirus anser6262,3117037
Parvovirus larvivora5808,3117117
Parvovirus grus5877,3117099
Parvovirus chalcites3867,3117064
Parvovirus phoenicopterus3947,3117178
Parvovirus grus5942,3117100
Anellovirus meleagris2358,3115994
Parvovirus phoenicurus12233s1,3117179
Parvovirus emberiza6660,3117080
Parvovirus anser6071,3117036
Parvovirus anser7825,3117039
Polyomavirus prunella5215,3117274
Parvovirus phylloscopus4927,3117182
Anellovirus gallus2670,3115989
Meldvirus gallus11737,3116726
Papillomavirus luscinia7441,3116978
Parvovirus anser7324,3117038
Polyomavirus saxicola5252a,3117279
Polyomavirus sericulus5319,3117280
Cressvirus meleagris1922,3116679
Parvovirus emberiza7086,3117081
Cressvirus meleagris952,3116680
Adintovirus pavo15764,3115938
Parvovirus phylloscopus5401s1,3117184
Parvovirus leiothrix3317,3117118
Parvovirus streptopelia4404,3117207
Polyomavirus erythrura5362,3117231
Parvovirus emberiza5276,3117079
Parvovirus steptopelia5095,3117206
Polyomavirus pteridophora5384,3117276
Polyomavirus zonotrichia5422,3117287
Polyomavirus phylloscopus4708,3117269
Parvovirus steptopelia4906,3117205
Anellovirus meleagris2399,3115995
Parvovirus phasianus6595,3117175
Psittacine adenovirus 12,3134257
Avian polyomavirus,1702318
Canarypox virus,44088
Spheniscid alphaherpesvirus 2,3134033
Calonectris borealis alphaherpesvirus,3129245
Ardenna gravis alphaherpesvirus,3129244
Gyrovirus 2316_26,3127497
Gyrovirus 2316_32,3127498
Gyrovirus 2885_18H,3127499
Gyrovirus 2885_18K,3127500
Gyrovirus 2885_18L,3127501
Gyrovirus 2126_10,3127502
Lymphoproliferative disease virus,11961
Feral pigeon astrovirus,928291
Pigeon astrovirus,3079711
Duck aviadenovirus,2875327
Comazfec virus 1,3112648
Comazfec virus 2,3112649
Comazfec virus 3,3112650
Comazfec virus 4,3112651
Comazfec virus 5,3112652
Comazfec virus 6,3112653
Comazfec virus 7,3112654
Comazfec virus 8,3112655
Comazfec virus 9,3112656
Comazfec virus 10,3112657
Comazfec virus 11,3112658
Comazfec virus 12,3112659
Comazfec virus 13,3112660
Comazfec virus 14,3112661
Comazfec virus 15,3112662
Comazfec virus 16,3112663
Comazfec virus 17,3112664
Malazfec virus 1,3112667
Malazfec virus 9,3112675
Malazfec virus 10,3112676
Malazfec virus 11,3112677
Malazfec virus 12,3112678
Malazfec virus 13,3112679
Malazfec virus 14,3112680
Malazfec virus 15,3112681
Malazfec virus 16,3112682
Malazfec virus 17,3112683
Malazfec virus 18,3112684
Malazfec virus 19,3112685
Malazfec virus 20,3112686
Malazfec virus 21,3112687
Malazfec virus 22,3112688
Malazfec virus 23,3112689
Malazfec virus 24,3112690
Malazfec virus 25,3112691
Short beak and dwarfism syndrome virus,3118410
Swan goose coronavirus,3064243
,Not found
Avastrovirus 3,1239439
Gammacoronavirus sp.,2163008
Anser circovirus,3113012
Anas platyrhynchos papillomavirus 3,3112618
Hepacivirus sp.,2202624
Duck astrovirus CPH,1517684
unidentified influenza virus,11309
Mute swan associated circo-like virus,3104762
Chaphamaparvovirus anseriform 7,3104763
Chaphamaparvovirus anseriform 8,3104764
Chaphamaparvovirus anseriform 9,3104765
Sturnus papillomavirus,3106067
Thinornis picornavirus,3106068
Grus nigricollis-associatied genomovirus,3077354
Protoparvovirus sp.,1987106
Grusopivirus sp.,2809444
Yellow-eyed penguin megrivirus,3085107
Yellow-eyed penguin picornavirus,3085108
Gammapolyomavirus anseris,1891746
Psittaciform chaphamaparvovirus 4,3090915
Psittaciform chaphamaparvovirus 5,3090916
Psittaciform chaphamaparvovirus 6,3090917
Canary dependoparvovirus 1,3085222
Canary chaphamaparvovirus 1,3085220
Canary chaphamaparvovirus 2,3085221
Canary dependoparvovirus 2,3085223
Gyrovirus homsa1,2844802
Tawny frogmouth aviadenovirus A,3042372
Chicken astrovirus,336959
Columba livia papillomavirus 1,3080879
Tetrao urogallus alphaherpesvirus 1,3077833
Strix nebulosa herpesvirus,3074439
kestrel polyomavirus 1,3074466
Zoothera dauma adenovirus,3073259
Gallivirus sp.,2809412
Bird calicivirus,3069714
Duck picornavirus,2874388
Waterbird gammacoronavirus 1,2992309
Goose parvovirus SDDY21,3062345
Goose parvovirus SDJN21,3062346
Goose parvovirus SDWF22,3062347
Rockhopper penguin papillomavirus,2962496
Quang Binh virus,643132
Orthobunyavirus manzanillaense,3052416
Oriental turtle dovepox virus,3051319
Coronavirus PREDICT_CoV-100,2717633
Buteo buteo herpesvirus,2928393
Psittacidae dependoparvovirus,2794570
Psittacid alphaherpesvirus 6,3042376
Psittaciform parvoviridae sp.,3042448
Psittacine picornavirus,3042449
Chaphamaparvovirus sp.,2809295
Gyrovirus homsa2,2844803
Eastern equine encephalitis virus,11021
Fregata magnificens alphaherpesvirus 1,3040023
Riboviria sp.,2585031
black-headed gull deltacoronavirus,3031139
common gull deltacoronavirus,3031140
common gull gammacoronavirus,3031141
Anatid alphaherpesvirus 1,104388
Bird parvovirus,3029445
ssDNA virus sp.,2593122
Cooks petrelpox virus,3019552
Orthobunyavirus bunyamweraense,3052381
Yellow-eyed penguin gyrovirus,3021812
Zebra finch hepacivirus 1,3004181
Zebra finch hepacivirus 2,3004182
Toutouwai hepatovirus,2996228
Avian associated calicivirus 5,2996223
Avian associated hepe-like virus 10,2996224
Avian associated picorna-like virus 15,2996209
Avian associated picorna-like virus 14,2996208
Avian associated picorna-like virus 20,2996214
Avian associated picorna-like virus 21,2996215
Avian associated picorna-like virus 19,2996213
Avian associated hepe-like virus 8,2996226
Avian associated picorna-like virus 25,2996219
Avian associated picorna-like virus 22,2996216
Avian associated picorna-like virus 17,2996211
Avian associated picorna-like virus 16,2996210
Avian associated picorna-like virus 13,2996207
Avian associated picorna-like virus 24,2996218
Avian associated picorna-like virus 18,2996212
Avian associated hepe-like virus 9,2996227
Avian associated picorna-like virus 23,2996217
Avian associated hepe-like virus 7,2996225
Avian associated picorna-like virus 27,2996221
Avian associated picorna-like virus 26,2996220
Rous sarcoma virus,11886
Sunrhavirus bimbo,2956479
Sunrhavirus kolongo,2956481
Avian megrivirus,2986276
Duck adeno-associated virus,2875326
Magpiepox virus 2,2874139
Psittaciform chaphamaparvovirus 3,2928890
Avastrovirus sp.,2809168
Duck circovirus 3,2994410
Nyavirus nyamaniniense,644610
trumpeter swan calicivirus,2992313
duck egg-reducing syndrome virus,2987487
Crowpox virus,2942216
Avipoxvirus isolate Galapagos Islands,1294098
Wigfec virus K19_482,2986032
Wigfec virus K19_469,2986033
Wigfec virus K19_435,2986034
Wigfec virus K19_467,2986035
Wigfec virus K19_227,2985990
Wigfec virus K19_426,2985991
Wigfec virus K19_432,2985992
Wigfec virus K19_450,2985993
Wigfec virus K19_484,2985994
Wigfec virus K19_486,2985995
Wigfec virus K19_494,2985996
Wigfec virus K19_511,2985997
Wigfec virus K19_521,2985998
Wigfec virus K19_545,2985999
Wigfec virus K19_562,2986000
Wigfec virus K19_588,2986001
Wigfec virus K19_598,2986002
Wigfec virus K19_605,2986003
Wigfec virus K19_623,2986004
Wigfec virus K19_658,2986005
Wigfec virus K19_292,2986006
Wigfec virus K19_346,2986007
Wigfec virus K19_385,2986008
Wigfec virus K19_525,2986009
Wigfec virus K19_555,2986010
Wigfec virus K19_558,2986011
Wigfec virus K19_561,2986012
Wigfec virus K19_571,2986013
Wigfec virus K19_593,2986014
Wigfec virus K19_600,2986015
Wigfec virus K19_645,2986016
Wigfec virus K19_654,2986017
Wigfec virus K19_668,2986018
Wigfec virus K19_691,2986019
Wigfec virus K19_221,2986020
Wigfec virus K19_259,2986021
Wigfec virus K19_327,2986022
Wigfec virus K19_443,2986023
Wigfec virus K19_493,2986024
Wigfec virus K19_526,2986025
Wigfec virus K19_576,2986026
Wigfec virus K19_615,2986027
Wigfec virus K19_448,2986028
Wigfec virus K19_454,2986029
Wigfec virus K19_513,2986030
Zingilamo virus,2983543
Bandavirus dabieense,2748958
Meleagrid alphaherpesvirus 2,2982300
Temminck's stint calicivirus,2976936
Crow astrovirus,2976362
psittacine adenovirus 8,2875246
psittacine adenovirus 9,2875244
psittacine adenovirus 10,2875245
Wood pigeon astrovirus,928292
Avastrovirus 2,1239438
Astroviridae sp.,2585114
Raptor adenovirus,2963835
Oriolus adenovirus,2862777
Anas platyrhynchos papillomavirus 2,2855326
Fowl aviadenovirus sp.,1972696
Avian associated bastrovirus 2,2936950
Blackbird siadenovirus,2936980
Avian astrovirus 2,2936979
Avian associated bastrovirus 1,2936949
Avian associated hepe-like virus 1,2936955
Avian associated hepe-like virus 2,2936956
Avian associated hepe-like virus 3,2936957
Avian associated hepe-like virus 4,2936958
Avian associated hepe-like virus 5,2936959
Avian associated hepe-like virus 6,2936960
Turdid alphaherpesvirus 1,2936981
Avian associated calicivirus 1,2936951
Avian associated calicivirus 2,2936952
Avian associated calicivirus 3,2936953
Avian associated calicivirus 4,2936954
Avian associated picorna-like virus 1,2936962
Avian associated picorna-like virus 2,2936965
Avian associated picorna-like virus 3,2936966
Avian associated picorna-like virus 4,2936967
Avian associated picorna-like virus 5,2936968
Avian associated picorna-like virus 6,2936969
Avian associated picorna-like virus 7,2936970
Avian associated picorna-like virus 8,2936971
Avian associated picorna-like virus 9,2936972
Avian associated picorna-like virus 10,2936963
Avian associated picorna-like virus 11,2936964
Avian associated orbivirus 1,2936961
Avian associated reo-like virus 1,2936973
Avian associated reo-like virus 2,2936974
Avian associated reo-like virus 3,2936975
Avian associated reo-like virus 4,2936976
Avian associated reo-like virus 5,2936977
Avian associated reo-like virus 6,2936978
Galliform chaphamaparvovirus 6,2928886
Galliform chaphamaparvovirus 7,2928887
Galliform chaphamaparvovirus 8,2928888
Galliform chaphamaparvovirus 9,2928889
Galliform chaphamaparvovirus 10,2928878
Galliform chaphamaparvovirus 11,2928879
Galliform chaphamaparvovirus 12,2928880
Galliform chaphamaparvovirus 13,2928881
Galliform chaphamaparvovirus 14,2928882
Galliform chaphamaparvovirus 15,2928883
Galliform chaphamaparvovirus 16,2928884
Galliform chaphamaparvovirus 17,2928885
Hepacivirus Q,2952659
Avipoxvirus isolate Arizona,1294092
tawny owl-associated circovirus,2945983
Pigeon-dominant Coronavirus,1649336
Avon-Heathcote Estuary associated circular virus 25,1618249
Mute swan feces associated avastrovius 1,2832253
Mute swan feces associated avastrovius 2,2832254
Mute swan feces associated aveparvovirus,2832255
Mute swan feces associated avihepatovirus,2832257
Mute swan feces associated calicivirus,2832256
Mute swan feces associated chapparvovirus 1,2832239
Mute swan feces associated chapparvovirus 2,2832240
Mute swan feces associated chapparvovirus 3,2832241
Mute swan feces associated chapparvovirus 4,2832242
Mute swan feces associated chapparvovirus 5,2832243
Mute swan feces associated chapparvovirus 6,2832244
Mute swan feces associated circular virus 1,2832259
Mute swan feces associated circular virus 2,2832268
Mute swan feces associated circular virus 3,2832269
Mute swan feces associated circular virus 4,2832270
Mute swan feces associated circular virus 5,2832271
Mute swan feces associated circular virus 6,2832272
Mute swan feces associated circular virus 7,2832273
Mute swan feces associated circular virus 8,2832274
Mute swan feces associated circular virus 9,2832275
Mute swan feces associated circular virus 10,2832260
Mute swan feces associated circular virus 11,2832261
Mute swan feces associated circular virus 12,2832262
Mute swan feces associated circular virus 13,2832263
Mute swan feces associated circular virus 14,2832264
Mute swan feces associated circular virus 15,2832265
Mute swan feces associated circular virus 16,2832266
Mute swan feces associated circular virus 17,2832267
Mute swan feces associated gammacoronavirus,2832252
Mute swan feces associated gemycircularvirus 1,2832251
Mute swan feces associated hepatovirus 1,2832211
Mute swan feces associated hepatovirus 2,2832212
Mute swan feces associated hepatovirus 3,2832213
Mute swan feces associated hepatovirus 4,2832214
Mute swan feces associated noda-like virus 1,2832173
Mute swan feces associated noda-like virus 2,2832174
Mute swan feces associated noda-like virus 3,2832175
Mute swan feces associated noda-like virus 4,2832176
Mute swan feces associated noda-like virus 5,2832177
Mute swan feces associated noda-like virus 6,2832178
Mute swan feces associated noda-like virus 7,2832179
Mute swan feces associated noda-like virus 8,2832180
Mute swan feces associated noda-like virus 9,2832181
Mute swan feces associated partitiviridae A,2832153
Mute swan feces associated partitiviridae B,2832154
Mute swan feces associated partitiviridae C,2832155
Mute swan feces associated partitiviridae D,2832156
Mute swan feces associated partitiviridae E,2832157
Mute swan feces associated partitiviridae F,2832158
Mute swan feces associated partitiviridae G,2832159
Mute swan feces associated partitiviridae H,2832160
Mute swan feces associated partitiviridae I,2832161
Mute swan feces associated partitiviridae J,2832162
Mute swan feces associated partitiviridae K,2832163
Mute swan feces associated partitiviridae L,2832164
Mute swan feces associated partitiviridae M,2832165
Mute swan feces associated partitiviridae N,2832166
Mute swan feces associated partitiviridae O,2832167
Mute swan feces associated partitiviridae 1,2832152
Mute swan feces associated picobirnavirus A,2832171
Mute swan feces associated picobirnavirus B,2832172
Mute swan feces associated picobirnavirus 1,2832168
Mute swan feces associated picobirnavirus 2,2832169
Mute swan feces associated picobirnavirus 3,2832170
Mute swan feces associated picorna-like virus 1,2832182
Mute swan feces associated picorna-like virus 2,2832193
Mute swan feces associated picorna-like virus 3,2832204
Mute swan feces associated picorna-like virus 4,2832205
Mute swan feces associated picorna-like virus 5,2832206
Mute swan feces associated picorna-like virus 6,2832207
Mute swan feces associated picorna-like virus 7,2832208
Mute swan feces associated picorna-like virus 8,2832209
Mute swan feces associated picorna-like virus 9,2832210
Mute swan feces associated picorna-like virus 10,2832183
Mute swan feces associated picorna-like virus 11,2832184
Mute swan feces associated picorna-like virus 12,2832185
Mute swan feces associated picorna-like virus 13,2832186
Mute swan feces associated picorna-like virus 14,2832187
Mute swan feces associated picorna-like virus 15,2832188
Mute swan feces associated picorna-like virus 16,2832189
Mute swan feces associated picorna-like virus 17,2832190
Mute swan feces associated picorna-like virus 18,2832191
Mute swan feces associated picorna-like virus 19,2832192
Mute swan feces associated picorna-like virus 20,2832194
Mute swan feces associated picorna-like virus 21,2832195
Mute swan feces associated picorna-like virus 22,2832196
Mute swan feces associated picorna-like virus 23,2832197
Mute swan feces associated picorna-like virus 24,2832198
Mute swan feces associated picorna-like virus 25,2832199
Mute swan feces associated picorna-like virus 26,2832200
Mute swan feces associated picorna-like virus 27,2832201
Mute swan feces associated picorna-like virus 28,2832202
Mute swan feces associated picorna-like virus 29,2832203
Mute swan feces associated sapelovirus 1,2832245
Mute swan feces associated sapelovirus 2,2832246
Mute swan feces associated sapelovirus 3,2832247
Mute swan feces associated toti-like virus 1,2832222
Mute swan feces associated toti-like virus 2,2832223
Mute swan feces associated toti-like virus 3,2832224
Phasianus chaphamaparvovirus,2944714
Orthoavulavirus sp.,2809629
Metaavulavirus sp.,2809562
Picornavirales sp.,1955153
Gyrovirus 3,2583049
Finchpox virus,2940294
Finch poxvirus,2928837
Albatrosspox virus,2811222
Duck adenovirus 4,2726020
Dependoparvovirus sp.,2052559
Orthoreovirus sp.,2558258
