Unnamed: 0,Species,NCBI Taxon ID,Order,Family,Genus,envelope,circular,double_stranded,rna,segmented,positive_sense,negative_sense,size,gc,genes,budding,lysis,release_other,cytoplasm,CE_clathrin,CE_receptor,CE_glycoproteins,CE_other
326,Rotavirus A,28875,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,18562.0,33.5,12.0,True,False,False,True,False,False,True,False
307,Lavender waxbill polyomavirus,36362,Sepolyvirales,Polyomaviridae,,False,True,True,False,False,False,False,,,,False,True,False,False,False,True,False,False
1927,IC4 retrovirus,36381,Ortervirales,Retroviridae,,True,False,False,True,False,True,False,,,,True,False,False,False,False,False,True,False
1,Avian orthoreovirus,38170,Reovirales,Spinareoviridae,Orthoreovirus,False,False,True,True,True,False,False,23593.0,48.5,12.0,False,False,True,True,True,False,False,False
1544,Gallid herpesvirus,39566,Herpesvirales,,,True,False,True,False,False,False,False,,,,True,True,True,False,False,False,True,False
287,Java sparrow circovirus,39725,Cirlivirales,Circoviridae,,False,True,True,False,False,False,False,,,,False,True,False,False,False,True,False,False
207,Umatilla virus,40060,Reovirales,Sedoreoviridae,Orbivirus,False,False,True,True,True,False,False,19402.0,41.0,10.0,False,False,True,True,True,False,False,False
1692,Birnavirus sp.,41996,,Birnaviridae,,False,False,True,True,True,False,False,,,,True,False,False,True,False,True,False,False
428,Canarypox virus,44088,Chitovirales,Poxviridae,Avipoxvirus,True,False,True,False,True,False,False,359853.0,30.5,328.0,False,True,False,True,False,False,True,False
1758,Fort Morgan virus,48544,Martellivirales,Togaviridae,Alphavirus,True,False,False,True,False,True,False,11381.0,48.5,3.0,True,False,False,True,True,False,False,False
1925,MLV-related retrovirus,53454,Ortervirales,Retroviridae,Gammaretrovirus,True,False,False,True,False,True,False,,,,True,False,False,False,False,False,True,False
1121,Mayaro virus,59301,Martellivirales,Togaviridae,Alphavirus,True,False,False,True,False,True,False,11411.0,50.5,4.0,True,False,False,True,True,False,False,False
362,Torque teno virus,68887,,Anelloviridae,,False,True,False,False,True,False,False,3649.0,49.0,4.0,False,True,False,False,False,True,False,False
271,Turkey astrovirus,70793,Stellavirales,Astroviridae,Avastrovirus,False,False,False,True,False,True,False,7003.0,43.5,2.0,False,False,True,True,False,True,False,False
331,Tremovirus A,70796,Picornavirales,Picornaviridae,Tremovirus,False,False,False,True,False,True,False,,,,False,True,False,True,False,True,False,False
1545,Aichivirus A,72149,Picornavirales,Picornaviridae,Kobuvirus,False,False,False,True,False,True,False,,,,False,True,False,True,False,True,False,False
1921,Lyssavirus australis,90961,Mononegavirales,Rhabdoviridae,Lyssavirus,True,False,False,True,True,False,True,11822.0,44.0,5.0,True,False,False,True,False,False,True,False
262,Avian endogenous retrovirus EAV-HP,93465,Ortervirales,Retroviridae,,True,False,False,True,False,True,False,4302.0,53.0,1.0,True,False,False,False,False,False,True,False
539,Anatid alphaherpesvirus 1,104388,Herpesvirales,Orthoherpesviridae,Mardivirus,True,True,False,False,False,False,False,,,,True,False,False,False,False,False,True,False
1494,Human mastadenovirus F,130309,Rowavirales,Adenoviridae,Mastadenovirus,False,False,True,False,False,False,False,34214.0,51.0,18.0,False,True,False,False,False,False,True,False
309,Duck atadenovirus A,130328,Rowavirales,Adenoviridae,Atadenovirus,False,False,True,False,False,False,False,33213.0,43.0,30.0,False,True,False,False,False,False,True,False
301,Yellow-fronted canary circovirus,142661,Cirlivirales,Circoviridae,Circovirus,False,True,True,False,False,False,False,,,,False,True,False,False,True,False,False,False
1886,Fowl adenovirus 12,172858,Rowavirales,Adenoviridae,Aviadenovirus,False,False,True,False,False,False,False,,,,False,True,False,False,False,False,True,False
223,Rotavirus F,183405,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,18341.0,34.5,11.0,True,False,False,True,False,False,True,False
224,Rotavirus G,183407,Reovirales,Sedoreoviridae,Rotavirus,False,False,True,True,True,False,False,18186.0,35.0,12.0,True,False,False,True,False,False,True,False
283,Fowl aviadenovirus A,190061,Rowavirales,Adenoviridae,Aviadenovirus,False,False,True,False,False,False,False,43804.0,54.5,31.0,False,True,False,False,False,False,True,False
225,Fowl aviadenovirus B,190062,Rowavirales,Adenoviridae,Aviadenovirus,False,False,True,False,False,False,False,45781.0,56.5,39.0,False,True,False,False,False,False,True,False
241,Fowl aviadenovirus C,190063,Rowavirales,Adenoviridae,Aviadenovirus,False,False,True,False,False,False,False,45667.0,54.5,46.0,False,True,False,False,False,False,True,False
