NCBI Taxon ID,size,gc,genes,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
11034,11703,51,4,0.21973354,-0.11624175,-0.05360439,0.19513726,0.100986496,0.20959413,0.07700433,0.078101814,-0.03681166,-0.07018043,0.067266464,-0.28486714,-0.25181702,-0.026787508,0.08469124,0.017349578,0.1483621,-0.10552575,0.10063247,0.053599566,0.06610885,-0.033047196,0.30351484,-0.071351536,-0.0048293434,-0.14765783,-0.10763088,-0.030547362,-0.1460329,0.042801343,-0.22939347,-0.3393866,-0.13687254,-0.07584904,0.24640432,0.07056314,-0.19209564,-0.105256416,-0.17315117,-0.06408969,-0.05619449,0.08970456,0.09277482,0.06878798,0.18277088,-0.14831722,-0.18683913,-0.002518274,0.00080733746,0.012576975
11036,11447,50,6,0.21973354,-0.11624175,-0.05360439,0.19513726,0.100986496,0.20959413,0.07700433,0.078101814,-0.03681166,-0.07018043,0.067266464,-0.28486714,-0.25181702,-0.026787508,0.08469124,0.017349578,0.1483621,-0.10552575,0.10063247,0.053599566,0.06610885,-0.033047196,0.30351484,-0.071351536,-0.0048293434,-0.14765783,-0.10763088,-0.030547362,-0.1460329,0.042801343,-0.22939347,-0.3393866,-0.13687254,-0.07584904,0.24640432,0.07056314,-0.19209564,-0.105256416,-0.17315117,-0.06408969,-0.05619449,0.08970456,0.09277482,0.06878798,0.18277088,-0.14831722,-0.18683913,-0.002518274,0.00080733746,0.012576975
11039,11562,48,2,0.21973354,-0.11624175,-0.05360439,0.19513726,0.100986496,0.20959413,0.07700433,0.078101814,-0.03681166,-0.07018043,0.067266464,-0.28486714,-0.25181702,-0.026787508,0.08469124,0.017349578,0.1483621,-0.10552575,0.10063247,0.053599566,0.06610885,-0.033047196,0.30351484,-0.071351536,-0.0048293434,-0.14765783,-0.10763088,-0.030547362,-0.1460329,0.042801343,-0.22939347,-0.3393866,-0.13687254,-0.07584904,0.24640432,0.07056314,-0.19209564,-0.105256416,-0.17315117,-0.06408969,-0.05619449,0.08970456,0.09277482,0.06878798,0.18277088,-0.14831722,-0.18683913,-0.002518274,0.00080733746,0.012576975
11292,11932,45,5,0.10391411,-0.26111463,-0.14862187,0.06982848,0.261548,0.31418392,-0.023615122,0.111760244,-0.02584992,0.11818349,0.06810573,-0.16910262,-0.12952903,-0.11401206,0.05525371,0.0066527585,0.08955912,-0.055735536,-0.10266283,0.027433172,0.101889834,-0.016444616,0.22692227,-0.097859226,0.036384564,-0.046608176,-0.067401126,-0.10413872,-0.07761593,0.073076785,-0.248369,-0.32258153,-0.12696013,-0.05478324,0.17657432,0.04533571,-0.25084406,-0.1663721,-0.1595526,-0.12250593,-0.13964364,0.14095668,-0.024083164,0.008000005,0.17619076,-0.06070172,-0.06932008,0.023522316,-0.197199,-0.02435606
11309,0,0,0,0.17482539,-0.19842783,-0.20210361,0.1788916,0.26458043,0.28012556,0.027738474,-0.013527643,0.036235638,0.068233274,0.029231463,-0.16186573,-0.14433737,-0.122940466,0.004623386,0.021408685,0.10248142,-0.07299427,-0.030124892,0.14244646,0.029100064,-0.15669927,0.20743197,-0.20154461,0.06801352,-0.12397549,-0.09734751,-0.20117053,-0.13133708,0.10820532,-0.19207567,-0.42465279,-0.18889165,-0.16611329,0.22648078,0.040436227,-0.22702824,-0.21399125,-0.19687411,0.03273563,-0.13271515,0.09289481,-0.0068289638,-0.026445817,0.15998638,-0.02878483,-0.18048835,0.09662521,-0.31068605,-0.02096466
11636,8295,52,3,0.1785947,-0.22505382,-0.028644593,0.09680093,0.16363454,0.27129823,0.07584544,0.11879588,-0.092234164,-0.073886424,0.029447671,-0.16484375,-0.2593528,-0.085462004,0.09699436,-0.03750521,0.07738295,-0.09314934,-0.053612575,0.003145704,0.0723099,-0.020511068,0.2469303,-0.028075133,-0.06347072,-0.13368413,-0.035641402,-0.08024259,-0.086143404,0.019343682,-0.20436601,-0.3252412,-0.15081522,-0.12549664,0.23236129,-0.009594612,-0.18114841,-0.1513805,-0.14360157,-0.059689395,-0.17076495,0.11020642,0.005386088,0.062093005,0.17019558,-0.05313671,-0.050601803,0.029385757,-0.18083487,0.004040152
11864,7489,53,3,0.25855574,-0.20877081,-0.029519092,0.10368126,0.17765549,0.24999738,0.003586106,0.14307779,-0.12833999,-0.0646535,0.01886363,-0.123982996,-0.24714996,-0.085157834,0.0944867,-0.096686,0.026928999,-0.14492472,0.046772487,0.007370509,0.07888916,-0.09294853,0.23895049,-0.11859033,-0.07945375,-0.091295056,0.059899695,-0.04126064,-0.11475587,-0.027336251,-0.26053056,-0.3423128,-0.10949762,-0.122041635,0.22975984,-0.006118089,-0.16046882,-0.17634736,-0.13960049,-0.016432436,-0.14303117,0.11617787,0.011139862,0.119983986,0.16850734,-0.027768932,-0.07080639,0.056778666,-0.12732837,0.08212733
11886,9392,54,4,0.25855574,-0.20877081,-0.029519092,0.10368126,0.17765549,0.24999738,0.003586106,0.14307779,-0.12833999,-0.0646535,0.01886363,-0.123982996,-0.24714996,-0.085157834,0.0944867,-0.096686,0.026928999,-0.14492472,0.046772487,0.007370509,0.07888916,-0.09294853,0.23895049,-0.11859033,-0.07945375,-0.091295056,0.059899695,-0.04126064,-0.11475587,-0.027336251,-0.26053056,-0.3423128,-0.10949762,-0.122041635,0.22975984,-0.006118089,-0.16046882,-0.17634736,-0.13960049,-0.016432436,-0.14303117,0.11617787,0.011139862,0.119983986,0.16850734,-0.027768932,-0.07080639,0.056778666,-0.12732837,0.08212733
11945,0,0,0,0.2837883,-0.16840455,-0.058558106,0.20140707,0.22488694,0.2518854,0.041000593,0.068381734,-0.0769596,-0.06338909,-0.015576696,-0.1433354,-0.2614753,-0.13510829,0.111250244,-0.009592223,0.11225159,-0.13804238,0.02672141,0.16436967,0.062892646,-0.19709823,0.20859706,-0.1680704,-0.033210494,-0.1583796,0.047408767,-0.1021736,-0.094457194,0.027031347,-0.2762848,-0.39179507,-0.14576025,-0.14255975,0.28181952,-0.0014708266,-0.17868425,-0.19158807,-0.08178496,0.042073965,-0.113565445,0.16415857,-0.035330083,0.09698644,0.16218676,0.048014097,-0.085565545,0.058881383,-0.19022496,0.14949992
11955,0,0,0,0.2837883,-0.16840455,-0.058558106,0.20140707,0.22488694,0.2518854,0.041000593,0.068381734,-0.0769596,-0.06338909,-0.015576696,-0.1433354,-0.2614753,-0.13510829,0.111250244,-0.009592223,0.11225159,-0.13804238,0.02672141,0.16436967,0.062892646,-0.19709823,0.20859706,-0.1680704,-0.033210494,-0.1583796,0.047408767,-0.1021736,-0.094457194,0.027031347,-0.2762848,-0.39179507,-0.14576025,-0.14255975,0.28181952,-0.0014708266,-0.17868425,-0.19158807,-0.08178496,0.042073965,-0.113565445,0.16415857,-0.035330083,0.09698644,0.16218676,0.048014097,-0.085565545,0.058881383,-0.19022496,0.14949992
