,taxid,order,family,mass,trophic level,trophic niche,primary lifestyle,range size,habitat,habitat density,migration,evolutionary distinctiveness
104,44394,16.0,63.0,24.4,1.0,7.0,4.0,5662700.85,10.0,2,3,111.1245949870151
105,175947,16.0,37.0,56.4,1.0,7.0,3.0,18396768.3,2.0,1,2,111.12459498730578
106,219595,1.0,6.0,9349.99,1.0,3.0,1.0,17099815.6,9.0,3,3,111.1245949865922
107,247715,16.0,33.0,9.4,1.0,2.0,2.0,1681468.53,8.0,2,1,111.12459498699609
108,46550,21.0,31.0,6961.29,0.0,0.0,1.0,97771387.54,5.0,3,2,111.12459498684886
109,9078,12.0,68.0,502.1,1.0,2.0,4.0,10343343.08,8.0,3,1,111.12459498650546
110,701737,16.0,26.0,292.55,2.0,7.0,4.0,4469957.42,4.0,3,1,111.1245949868345
111,229552,22.0,78.0,316.0,1.0,7.0,3.0,7846.5,2.0,2,1,111.12459498680288
112,75845,1.0,6.0,434.0,2.0,3.0,1.0,3942276.35,9.0,3,2,111.12459498659312
113,279961,6.0,88.0,27.5,0.0,0.0,4.0,2634809.84,3.0,3,3,111.1245949863247
114,1003843,9.0,4.0,91.4,0.0,7.0,3.0,7101906.95,4.0,2,2,111.1245949863027
115,28727,16.0,26.0,88.0,2.0,7.0,4.0,6665383.16,10.0,2,1,111.12459498665385
116,8984,12.0,28.0,562.6,1.0,1.0,3.0,603225.55,8.0,1,1,111.12459498700242
117,234623,1.0,6.0,806.76,0.0,0.0,1.0,2209280.29,5.0,3,3,111.12459498655237
118,217134,16.0,37.0,37.8,1.0,7.0,4.0,2279904.65,3.0,3,3,111.12459498729814
119,85066,16.0,26.0,448.76,2.0,7.0,4.0,11573830.54,4.0,2,2,111.12459498683836
120,1977160,14.0,40.0,4296.22,2.0,7.0,4.0,8593771.09,9.0,3,3,111.12459498699609
121,2585822,14.0,83.0,77.4,0.0,5.0,4.0,41.11,2.0,1,1,111.12459498699609
122,35545,22.0,78.0,170.0,1.0,7.0,3.0,387356.37,8.0,2,2,111.12459498672256
123,187444,16.0,77.0,17.0,0.0,5.0,4.0,6373551.3,2.0,2,3,111.1245949870569
124,142466,16.0,26.0,85.74,2.0,7.0,4.0,2322710.64,8.0,2,1,111.12459498676884
125,197941,1.0,6.0,871.0,0.0,0.0,1.0,9492361.68,9.0,3,3,111.1245949865959
126,8846,1.0,6.0,2212.55,1.0,4.0,4.0,2371478.0,9.0,3,3,111.12459498668126
127,121423,16.0,53.0,14.59,0.0,5.0,3.0,14485113.51,10.0,1,3,111.12459498756834
128,36299,16.0,107.0,11.29,2.0,7.0,3.0,3441189.98,2.0,2,1,111.12459498656897
129,142467,16.0,61.0,15.87,2.0,5.0,3.0,178257.64,8.0,2,1,111.1245949873179
130,161676,6.0,88.0,364.57,0.0,7.0,4.0,4802995.65,3.0,3,3,111.12459498563187
131,182936,16.0,62.0,10.9,0.0,5.0,3.0,5385503.08,2.0,1,3,111.12459498701116
132,152277,22.0,78.0,476.94,1.0,7.0,3.0,128946.92,10.0,2,1,111.12459498676132
133,873176,16.0,38.0,25.27,0.0,5.0,3.0,5418434.13,2.0,1,1,111.12459498775624
134,114435,22.0,78.0,90.22,1.0,7.0,3.0,3484.5,2.0,1,1,111.1245949867871
135,175941,16.0,37.0,46.88,1.0,7.0,3.0,3312437.98,2.0,2,1,111.12459498750115
136,3151064,16.0,98.0,36.0,1.0,1.0,3.0,429823.39,2.0,2,1,111.12459498784344
137,8951,11.0,34.0,1078.62,2.0,7.0,4.0,9019115.11,8.0,3,1,111.12459498641088
138,37057,21.0,76.0,3591.69,2.0,7.0,2.0,100191503.8,5.0,3,2,111.12459498704322
139,90717,16.0,37.0,15.4,1.0,2.0,3.0,6668808.82,3.0,3,3,111.12459498699609
140,311393,12.0,68.0,2716.61,1.0,4.0,2.0,11330230.84,2.0,2,1,111.12459498699609
141,311893,22.0,78.0,75.9,1.0,1.0,3.0,11585.27,2.0,1,1,111.12459498684784
142,128390,17.0,99.0,1900.0,0.0,0.0,4.0,1119.51,9.0,2,1,111.1245949875844
143,88114,16.0,61.0,21.6,0.0,5.0,3.0,2969712.5,2.0,1,1,111.1245949873619
144,190659,6.0,88.0,40.4,0.0,0.0,4.0,13627000.39,9.0,3,3,111.12459498653348
145,163847,16.0,37.0,16.2,1.0,7.0,3.0,1693757.78,8.0,2,1,111.12459498699609
146,107022,1.0,6.0,918.56,0.0,0.0,1.0,22082935.41,9.0,3,3,111.12459498664568
147,30415,14.0,40.0,8785.99,2.0,7.0,4.0,738171.22,9.0,3,3,111.12459498684032
148,266418,16.0,48.0,20.21,1.0,6.0,3.0,851798.64,8.0,2,2,111.12459498697255
149,460219,16.0,98.0,47.62,1.0,1.0,3.0,9544602.66,8.0,2,1,111.12459498720187
150,309870,22.0,78.0,153.0,1.0,7.0,3.0,148979.73,2.0,1,1,111.12459498695198
