NCBI Taxon ID,mass,range size,habitat density,migration,evolutionary distinctiveness,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
56351,151,9360235,3,3,111,0.13336454,0.12992826,0.18498035,0.018035676,-0.12706217,-0.15734495,0.12038987,0.040334333,-0.09003049,0.016271137,0.2976231,0.004341379,0.13269266,-0.15826482,0.11205918,-0.09472237,0.16661896,0.0147430785,-0.062375892,-0.010624368,-0.029952202,-0.28846323,-0.13437173,-0.18766817,-0.005012095,-0.061165504,-0.19523513,-0.113088086,0.11638743,0.065094575,0.1428417,0.19251274,0.14533718,-0.12477653,-0.024029419,0.08764274,-0.10087589,0.1250891,-0.13203734,-0.24347359,0.17061028,0.020957112,0.15213358,0.112838656,-0.079318784,-0.20283817,0.0896901,-0.25673255,-0.15115085,0.09595931
115651,133,13251115,1,1,111,0.11756082,0.015629001,0.25854224,0.016041638,-0.2810786,-0.061438307,-0.10727933,0.003607139,-0.053543817,0.17421207,0.21543807,-0.09520996,0.0017607585,-0.11488651,0.024639592,0.021083755,0.22310379,0.13104731,-0.034744736,-0.09738819,0.13265951,-0.18810959,-0.13471651,-0.24274988,0.01130949,-0.12362986,0.09752745,0.075207345,0.109271705,0.12994881,0.20894355,0.20545839,0.049669266,-0.1119995,-0.1525225,0.19052157,-0.03941446,0.15161496,-0.10499127,-0.1922737,0.027865047,0.22991818,0.17507464,-0.09987146,0.05738797,-0.18798366,0.058736645,-0.24961185,-0.1662861,-0.046475798
279964,713,3975634,3,3,111,0.2044079,0.07680234,0.13492724,0.057941683,-0.09034414,-0.0889638,0.1034962,0.03666543,-0.12655358,0.053497724,0.28026345,0.046001345,0.14131424,-0.18518144,0.11139999,-0.12903528,0.19493161,0.0039694756,-0.035118286,0.06858247,0.003785314,-0.28046,-0.19352135,-0.22490245,-0.011457112,-0.014270805,-0.17114483,-0.13024141,0.16956457,0.032106638,0.16167071,0.16030584,0.12222399,-0.14172058,-0.003882721,0.12495067,-0.11984123,0.11491905,-0.117292896,-0.2622896,0.1745583,0.04215659,0.1359016,0.09081216,-0.09572861,-0.2184287,0.07702948,-0.2629371,-0.16151343,0.09554566
8895,37,24779920,1,3,111,0.09252537,0.16773953,0.1530504,0.027334688,-0.13806473,-0.1138248,0.06669617,0.13440412,0.0003215596,-0.008110344,0.27269655,-0.066738375,0.036059957,-0.05886139,0.089361764,-0.045525238,0.18737382,0.058360208,-0.06889133,-0.17445666,-0.017517012,-0.31391448,-0.028274067,-0.20766196,-0.06110772,-0.06523132,-0.116027534,-0.10322562,0.10319531,0.12653716,0.06826986,0.24203534,0.18151791,-0.09915582,0.008297972,0.051403183,0.020307409,0.16012114,-0.16304344,-0.34226754,0.12357636,0.06606993,0.1846318,0.06330088,0.024411382,-0.16143897,0.12749507,-0.20641433,-0.12353501,-0.023283705
8957,866,31775270,1,2,111,0.23081589,0.07414945,0.1225497,0.0012801997,-0.062684864,-0.020576045,-0.07188394,0.15866554,0.063815475,0.1293756,0.22627684,-0.09020343,-0.011507299,-0.22463071,0.006058529,-0.18915905,0.13604946,-0.019128889,0.09163964,-0.1347791,0.1469237,-0.264403,-0.08578867,-0.17180999,-0.08488674,-0.109460466,-0.060311887,-0.07397662,0.18350434,0.091971144,0.1546221,0.25156015,0.06873429,-0.2368193,0.04508374,0.09269944,-0.1142004,0.114668936,-0.20099668,-0.43079528,0.06473686,0.14298026,0.07572025,-0.16679116,-0.0104837045,-0.20090967,0.21655041,-0.25891483,-0.22142391,0.0046073347
247542,7,3732329,3,1,111,0.20871711,0.10387905,0.15991242,0.0016285218,-0.35483244,-0.09082876,-0.05474843,0.19374791,-0.045157332,0.15630022,0.22956139,-0.014782414,0.16865608,-0.1796935,0.14059164,-0.046360753,0.046170212,0.07230832,-0.13714096,-0.02090488,0.0006831363,-0.16785774,0.06419719,-0.25899422,0.03355162,-0.05157338,-0.16121945,-0.109534875,0.012897581,0.01458966,0.17131959,0.21721373,0.045771036,-0.20360932,0.10052406,0.095074944,-0.10036711,0.16478053,-0.06800183,-0.38104916,0.05215265,0.083033144,0.034009624,-0.13670914,-0.15807578,-0.13461822,0.13216522,-0.16068801,-0.302413,0.07952487
748877,1525,1415096,1,1,111,0.20793627,0.1180844,0.17263713,0.064364076,-0.13198462,-0.06504987,-0.09377448,0.12862985,0.040714405,0.07186337,0.26128265,-0.0071581826,-0.063724525,-0.06068413,0.069455706,-0.1351388,0.27825463,0.071260124,0.0994605,-0.05961135,0.06395748,-0.22547153,-0.060075946,-0.20986176,-0.08330465,-0.027184416,-0.081374496,-0.06096951,0.23762554,0.07447615,0.12107609,0.1888769,0.17467907,-0.14497751,-0.014391724,0.15737513,-0.025665596,0.1483393,-0.33217233,-0.3824508,0.040100656,0.02920461,0.20028816,-0.039034136,-0.103235796,-0.14377818,0.1423089,-0.22264615,-0.16408744,-0.059117816
301969,137,17088062,1,1,111,0.13276356,0.1911704,0.2198069,-0.030544207,-0.1458445,-0.1372636,-0.073056445,0.09529497,0.12358652,0.05294735,0.35389003,-0.025465548,-0.043871947,-0.07832297,0.030475445,-0.09625079,0.22418988,0.09540203,-0.004153773,-0.12617105,0.06503379,-0.22389787,0.0018021464,-0.1860567,-0.021936815,-0.115399264,-0.14588305,0.0029587373,0.1084306,0.09462799,0.15006009,0.21706295,0.17730881,-0.13438632,-0.044963934,0.045812666,-0.013756721,0.14753743,-0.2743542,-0.3589158,0.078723595,0.096646145,0.22702152,0.03449425,-0.09656285,-0.10799304,0.08626061,-0.2648138,-0.22946726,0.029321333
84988,2600,3699369,1,1,111,0.140533,0.0128908865,0.1975292,-0.12977538,-0.24232806,-0.045480132,-0.1612413,0.08699629,0.010292148,0.22773367,0.27345362,-0.011447355,-0.0057520643,-0.12893853,0.15130281,-0.013461829,0.19875962,0.04921793,-0.034356523,-0.077648595,0.041687258,-0.21499935,-0.063379824,-0.30652213,-0.054479524,-0.15113178,-0.036202367,0.16771784,0.1492368,0.12515044,0.08525593,0.27968326,0.14209066,-0.11072466,-0.0172119,0.1281809,-0.027761942,0.028117843,-0.15567671,-0.30016136,0.082374334,0.193387,0.18916737,-0.08553375,0.022662468,-0.09045337,0.05288994,-0.26500392,-0.24185978,0.006121246
303304,783,27792,2,1,111,0.07729295,0.09346467,0.2932443,0.049462497,-0.24480565,-0.03316758,-0.18931809,0.095774144,-0.022527102,0.20112456,0.29928213,-0.120399535,-0.06129117,-0.077678174,0.115949824,-0.020675486,0.25755087,0.033960838,-0.017003607,0.043670066,-0.040358376,-0.19512495,-0.021578692,-0.31098354,-0.09711855,-0.051769458,-0.18420102,0.076594226,0.15679994,0.015198521,0.06359161,0.1932052,0.03269922,-0.13079926,-0.067034185,0.16116668,0.07514274,0.012365904,-0.16080737,-0.37355676,0.07595572,0.1617096,0.12882216,-0.079118654,-0.1136136,-0.06272708,0.06701148,-0.24113634,-0.1826495,-0.092642434
