,scientific name,alternative name,taxid,order,family,mass,trophic level,trophic niche,primary lifestyle,range size,habitat,habitat density,migration,evolutionary distinctiveness
180,Enicognathus ferrugineus,,1549141,Psittaciformes,Psittacidae,160.0,Herbivore,Omnivore,Insessorial,572089.61,Forest,2,1,111.12459498710491
181,Sturnia pagodarum,Sturnus pagodarum,451425,Passeriformes,Sturnidae,48.9,Herbivore,Omnivore,Insessorial,3407257.97,Forest,1,1,111.12459498699609
182,Thalassarche chlororhynchos,,54017,Procellariiformes,Diomedeidae,2128.84,Carnivore,Aquatic predator,Aquatic,21606227.43,Marine,3,2,111.12459498691013
183,Pygoscelis adeliae,,9238,Sphenisciformes,Spheniscidae,4847.67,Carnivore,Aquatic predator,Aquatic,148210.8,Marine,3,2,111.12459498733573
184,Eudyptula minor,,37083,Sphenisciformes,Spheniscidae,1107.82,Carnivore,Aquatic predator,Aquatic,365250.03,Marine,3,2,111.12459498708728
185,Pionites melanocephalus,,309866,Psittaciformes,Psittacidae,148.78,Herbivore,Granivore,Insessorial,2920163.54,Forest,1,1,111.12459498688264
186,Anas bahamensis,,75834,Anseriformes,Anatidae,489.97,Omnivore,Herbivore aquatic,Aquatic,2991584.7,Wetland,3,2,111.12459498659746
187,Gallicrex cinerea,,261967,Gruiformes,Rallidae,390.39,Herbivore,Omnivore,Terrestrial,10850084.73,Wetland,2,2,111.12459498668824
188,Columba rupestris,,126356,Columbiformes,Columbidae,245.41,Herbivore,Granivore,Terrestrial,11847809.42,Rock,3,1,111.12459498650712
189,Sitta canadensis,,50249,Passeriformes,Sittidae,9.8,Omnivore,Omnivore,Insessorial,7299100.07,Forest,1,3,111.12459498723852
190,Amazona brasiliensis,,244070,Psittaciformes,Psittacidae,430.0,Herbivore,Omnivore,Insessorial,4747.02,Forest,1,1,111.12459498682722
191,Poecile montanus,Parus montanus,48895,Passeriformes,Paridae,11.1,Omnivore,Invertivore,Insessorial,22224877.5,Forest,1,1,111.12459498699609
192,Forpus xanthopterygius,,345187,Psittaciformes,Psittacidae,31.0,Herbivore,Omnivore,Insessorial,5807185.18,Forest,2,1,111.12459498681535
193,Lagopus muta,,64668,Galliformes,Phasianidae,535.3,Herbivore,Herbivore terrestrial,Terrestrial,14996056.99,Grassland,3,1,111.1245949865576
194,Agapornis pullarius,,60467,Psittaciformes,Psittacidae,39.3,Herbivore,Granivore,Terrestrial,2650780.74,Woodland,3,1,111.12459498666948
195,Athene noctua,,126797,Strigiformes,Strigidae,168.92,Carnivore,Omnivore,Insessorial,26742298.73,Human Modified,3,1,111.12459498806057
196,Porphyrio martinica,,54567,Gruiformes,Rallidae,235.06,Herbivore,Herbivore aquatic,Terrestrial,16393196.71,Wetland,2,1,111.1245949862323
197,Falco naumanni,,148594,Falconiformes,Falconidae,152.06,Carnivore,Invertivore,Generalist,9560575.62,Grassland,3,3,111.12459498642671
198,Icteria virens,,135437,Passeriformes,Parulidae,24.89,Carnivore,Invertivore,Insessorial,6188045.96,Forest,2,1,111.12459498743377
199,Eolophus roseicapilla,Cacatua roseicapilla,176039,Psittaciformes,Cacatuidae,328.0,Herbivore,Granivore,Terrestrial,7009675.94,Woodland,3,1,111.12459498699609
200,Alisterus scapularis,,458117,Psittaciformes,Psittacidae,232.26,Herbivore,Omnivore,Insessorial,811455.94,Forest,1,1,111.1245949869512
201,Sitta europaea,,50251,Passeriformes,Sittidae,20.37,Carnivore,Invertivore,Insessorial,22902160.09,Forest,1,1,111.1245949873825
202,Cossypha niveicapilla,,228316,Passeriformes,Muscicapidae,36.7,Carnivore,Invertivore,Generalist,5176063.97,Woodland,2,1,111.12459498765372
203,Milvus milvus,,43518,Accipitriformes,Accipitridae,1071.77,Omnivore,Omnivore,Generalist,1698401.57,Shrubland,2,2,111.12459498719328
204,Pycnonotus sinensis,,125283,Passeriformes,Pycnonotidae,34.2,Herbivore,Frugivore,Insessorial,3154277.75,Human Modified,2,3,111.12459498709435
205,Meleagris gallopavo merriami,Meleagris gallopavo,109973,Galliformes,Phasianidae,5791.37,Herbivore,Omnivore,Terrestrial,7259958.92,Forest,2,1,111.1245949865678
206,Tympanuchus cupido attwateri,Tympanuchus cupido,115121,Galliformes,Phasianidae,870.08,Herbivore,Granivore,Terrestrial,402889.24,Grassland,3,1,111.12459498699609
207,Somateria mollissima,,76058,Anseriformes,Anatidae,2060.93,Carnivore,Aquatic predator,Aquatic,3321100.72,Marine,3,2,111.1245949865862
208,Quiscalus major,,84780,Passeriformes,Icteridae,151.21,Carnivore,Omnivore,Terrestrial,202767.11,Wetland,3,1,111.1245949869116
209,Eunymphicus cornutus,,119403,Psittaciformes,Psittacidae,130.0,Herbivore,Omnivore,Insessorial,826.21,Forest,1,1,111.12459498681751
210,Conopophaga aurita,,237657,Passeriformes,Conopophagidae,26.3,Carnivore,Invertivore,Insessorial,3387968.7,Forest,1,1,111.12459498716792
211,Anous minutus,,298326,Charadriiformes,Laridae,112.44,Carnivore,Aquatic predator,Aerial,6602963.98,Marine,3,2,111.12459498651477
212,Ixobrychus eurhythmus,,670346,Pelecaniformes,Ardeidae,139.0,Carnivore,Aquatic predator,Terrestrial,4733640.24,Wetland,1,3,111.12459498729784
213,Amazona xantholora,,1209394,Psittaciformes,Psittacidae,217.0,Herbivore,Frugivore,Insessorial,131400.34,Woodland,2,1,111.1245949868043
214,Gallus sonneratii,,9033,Galliformes,Phasianidae,840.82,Herbivore,Omnivore,Terrestrial,1030202.68,Forest,1,1,111.1245949866973
215,Anas undulata,,75862,Anseriformes,Anatidae,1008.0,Herbivore,Herbivore aquatic,Aquatic,8476793.26,Wetland,3,2,111.1245949865248
216,Perdix perdix,,9052,Galliformes,Phasianidae,405.3,Herbivore,Omnivore,Terrestrial,10032916.79,Grassland,3,1,111.12459498625654
217,Emberiza elegans,,160761,Passeriformes,Fringillidae,16.84,Omnivore,Omnivore,Terrestrial,3012325.14,Woodland,3,2,111.12459498683144
218,Sturnus vulgaris,,9172,Passeriformes,Sturnidae,77.14,Omnivore,Omnivore,Insessorial,17082191.68,Human Modified,3,2,111.12459498714662
219,Branta canadensis,,8853,Anseriformes,Anatidae,2811.68,Herbivore,Herbivore terrestrial,Terrestrial,12236810.45,Grassland,3,3,111.1245949864956
220,Tringa totanus,,171271,Charadriiformes,Scolopacidae,129.0,Carnivore,Aquatic predator,Terrestrial,19709237.23,Wetland,3,3,111.12459498664656
221,Syrrhaptes paradoxus,,302527,Pterocliformes,Pteroclidae,256.43,Herbivore,Granivore,Terrestrial,7445557.07,Grassland,3,2,111.1245949872957
222,Bubo bengalensis,,126803,Strigiformes,Strigidae,1100.0,Carnivore,Vertivore,Insessorial,3283460.59,Rock,2,1,111.12459498799336
223,Penelopina nigra,,116996,Galliformes,Cracidae,889.99,Herbivore,Frugivore,Insessorial,103251.96,Forest,1,1,111.12459498716888
224,Amazona leucocephala,,241562,Psittaciformes,Psittacidae,235.34,Herbivore,Omnivore,Insessorial,31233.13,Forest,2,1,111.1245949868318
225,Larus canus,,28681,Charadriiformes,Laridae,412.53,Carnivore,Omnivore,Terrestrial,17992527.98,Coastal,3,3,111.1245949864769
226,Strix uralensis,,36305,Strigiformes,Strigidae,780.56,Carnivore,Vertivore,Insessorial,,Forest,2,1,111.12459498792722
227,Acrocephalus scirpaceus,,48156,Passeriformes,Sylviidae,12.3,Carnivore,Invertivore,Insessorial,,Wetland,3,3,111.12459498733978
228,Falco tinnunculus,,100819,Falconiformes,Falconidae,183.21,Carnivore,Vertivore,Aerial,49037026.09,Shrubland,3,3,111.1245949864183
229,Ninox boobook,,507961,Strigiformes,Strigidae,282.19,Carnivore,Invertivore,Insessorial,7695657.77,Forest,2,2,111.12459498805713
230,Cyanistes caeruleus,Parus caeruleus,156563,Passeriformes,Paridae,11.1,Omnivore,Invertivore,Insessorial,8753389.8,Forest,1,1,111.12459498699609
231,Pica nuttalli,,114087,Passeriformes,Corvidae,158.29,Carnivore,Omnivore,Terrestrial,95191.28,Shrubland,2,1,111.12459498669224
232,Ducula bicolor,,115645,Columbiformes,Columbidae,440.01,Herbivore,Frugivore,Insessorial,626352.2,Forest,2,2,111.12459498673088
233,Pelecanus erythrorhynchos,,33618,Pelecaniformes,Pelecanidae,5608.48,Carnivore,Aquatic predator,Aquatic,1206894.35,Wetland,3,2,111.1245949871983
234,Amazona aestiva,,12930,Psittaciformes,Psittacidae,451.0,Herbivore,Frugivore,Insessorial,5857429.4,Shrubland,2,1,111.1245949867289
235,Buteo buteo vulpinus,Buteo buteo,115228,Accipitriformes,Accipitridae,759.1,Carnivore,Vertivore,Insessorial,16600070.45,Grassland,3,2,111.12459498753137
236,Crossoptilon auritum,,9096,Galliformes,Phasianidae,1768.33,Herbivore,Omnivore,Terrestrial,512906.05,Forest,1,1,111.1245949864746
237,Uraeginthus bengalus,,247673,Passeriformes,Estrildidae,9.9,Herbivore,Granivore,Terrestrial,7647838.82,Shrubland,3,1,111.12459498669008
238,Euplectes afer,,229097,Passeriformes,Ploceidae,14.29,Herbivore,Granivore,Terrestrial,3098334.42,Wetland,3,1,111.1245949870264
239,Chrysolophus pictus,,9089,Galliformes,Phasianidae,555.2,Herbivore,Herbivore terrestrial,Terrestrial,969402.26,Forest,1,1,111.1245949865235
240,Copsychus saularis,,343929,Passeriformes,Muscicapidae,36.0,Carnivore,Invertivore,Terrestrial,9284838.65,Woodland,1,1,111.12459498759264
241,Haematopus unicolor,,458153,Charadriiformes,Haematopodidae,671.0,Carnivore,Aquatic predator,Terrestrial,73499.48,Coastal,3,1,111.12459498740328
242,Amazona ochrocephala panamensis,Amazona ochrocephala,151766,Psittaciformes,Psittacidae,476.94,Herbivore,Omnivore,Insessorial,6626117.83,Forest,2,1,111.12459498674642
243,Crithagra leucopygia,Serinus leucopygius,3149693,Passeriformes,Fringillidae,10.8,Herbivore,Granivore,Generalist,3039637.6,Shrubland,2,1,111.1245949873759
244,Setophaga striata,Dendroica striata,1212470,Passeriformes,Parulidae,11.84,Carnivore,Invertivore,Insessorial,6353206.91,Forest,1,3,111.12459498699609
245,Lophodytes cucullatus,,279951,Anseriformes,Anatidae,613.77,Carnivore,Aquatic predator,Aquatic,5510396.5,Wetland,3,3,111.12459498657158
246,Pyriglena leucoptera,,265639,Passeriformes,Formicariidae,28.8,Carnivore,Invertivore,Insessorial,1228571.5,Forest,1,1,111.1245949877117
247,Thalasseus maximus,Sterna maxima,555356,Charadriiformes,Laridae,415.31,Carnivore,Aquatic predator,Aerial,3285888.83,Marine,3,3,111.12459498699609
248,Loxia curvirostra,,64802,Passeriformes,Fringillidae,38.29,Herbivore,Granivore,Insessorial,22671334.66,Forest,1,2,111.12459498741
249,Zonotrichia capensis,,44391,Passeriformes,Passerellidae,20.31,Herbivore,Omnivore,Generalist,12703362.43,Shrubland,3,1,111.12459498705032
250,Dromaius novaehollandiae,,8790,Casuariiformes,Dromaiidae,34093.25,Herbivore,Omnivore,Terrestrial,4231350.45,Grassland,3,1,111.12459498851
251,Chroicocephalus ridibundus,Larus ridibundus,1192867,Charadriiformes,Laridae,284.0,Carnivore,Aquatic predator,Generalist,17767358.5,Wetland,3,2,111.12459498699609
252,Aratinga auricapillus,,867384,Psittaciformes,Psittacidae,130.0,Herbivore,Omnivore,Insessorial,65241.77,Forest,2,1,111.12459498695064
253,Coracias garrulus,,188338,Coraciiformes,Coraciidae,146.0,Carnivore,Invertivore,Insessorial,9539437.58,Woodland,2,3,111.1245949875887
254,Zosterops lateralis,,43581,Passeriformes,Zosteropidae,12.68,Omnivore,Omnivore,Insessorial,2701109.15,Shrubland,2,1,111.12459498658538
255,Corvus coronoides,,108826,Passeriformes,Corvidae,644.3,Omnivore,Omnivore,Generalist,4803477.78,Shrubland,2,1,111.12459498684164
256,Anous stolidus,,297802,Charadriiformes,Laridae,177.77,Carnivore,Aquatic predator,Aerial,10192935.47,Marine,3,2,111.12459498651477
257,Dendrocopos major,,183177,Piciformes,Picidae,74.94,Omnivore,Omnivore,Insessorial,24413724.29,Woodland,1,1,111.12459498778308
258,Melanerpes carolinus,,56083,Piciformes,Picidae,69.5,Omnivore,Omnivore,Insessorial,3074161.82,Woodland,1,1,111.12459498777072
259,Francolinus pintadeanus,,472989,Galliformes,Phasianidae,310.0,Herbivore,Omnivore,Terrestrial,2072227.73,Forest,2,1,111.12459498694083
260,Anas platyrhynchos,,8839,Anseriformes,Anatidae,843.42,Herbivore,Herbivore aquatic,Aquatic,39707247.47,Wetland,3,2,111.12459498653108
261,Oxyura australis,,45649,Anseriformes,Anatidae,798.0,Omnivore,Herbivore aquatic,Aquatic,544505.23,Wetland,3,2,111.12459498665868
262,Grus nigricollis,,40817,Gruiformes,Gruidae,5999.99,Omnivore,Omnivore,Terrestrial,822333.13,Wetland,3,3,111.1245949868653
263,Seiurus aurocapilla,,182946,Passeriformes,Parulidae,18.8,Carnivore,Invertivore,Terrestrial,5222797.22,Forest,1,3,111.12459498758992
264,Streptopelia orientalis,,36243,Columbiformes,Columbidae,232.94,Herbivore,Omnivore,Terrestrial,16926350.97,Woodland,3,3,111.12459498655772
265,Barnardius zonarius semitorquatus,Barnardius zonarius,759764,Psittaciformes,Psittacidae,133.0,Herbivore,Omnivore,Insessorial,5305452.04,Forest,2,1,111.1245949867024
266,Saxicola torquatus,,230656,Passeriformes,Muscicapidae,14.09,Carnivore,Invertivore,Insessorial,32655980.34,Shrubland,3,2,111.12459498765251
267,Pluvialis apricaria,,670352,Charadriiformes,Charadriidae,214.0,Carnivore,Invertivore,Terrestrial,3294836.99,Grassland,3,3,111.12459498689437
268,Lagopus lagopus scotica,Lagopus lagopus,359986,Galliformes,Phasianidae,566.86,Herbivore,Herbivore terrestrial,Terrestrial,24300173.65,Grassland,3,1,111.12459498699609
269,Aythya valisineria,,110915,Anseriformes,Anatidae,1202.0,Herbivore,Herbivore aquatic,Aquatic,3654390.23,Wetland,3,3,111.12459498657594
270,Podiceps grisegena,,80367,Podicipediformes,Podicipedidae,1023.0,Carnivore,Aquatic predator,Aquatic,17383433.44,Wetland,3,3,111.1245949868308
271,Grus americana,,9117,Gruiformes,Gruidae,5825.99,Carnivore,Omnivore,Terrestrial,6122.49,Wetland,3,3,111.1245949868233
272,Arremon taciturnus,,1109026,Passeriformes,Passerellidae,24.8,Herbivore,Omnivore,Insessorial,6904094.96,Forest,1,1,111.12459498698814
273,Cacatua pastinator,,986097,Psittaciformes,Cacatuidae,631.7,Herbivore,Granivore,Terrestrial,115082.72,Woodland,2,1,111.1245949874864
274,Goura cristata,,115654,Columbiformes,Columbidae,2000.0,Herbivore,Omnivore,Terrestrial,80538.98,Forest,2,1,111.12459498628296
275,Sterna paradisaea,,279953,Charadriiformes,Laridae,110.0,Carnivore,Aquatic predator,Aerial,10398468.44,Coastal,3,3,111.12459498639473
276,Phalacrocorax carbo,,9209,Suliformes,Phalacrocoracidae,2528.97,Carnivore,Aquatic predator,Aquatic,24540701.98,Wetland,3,2,111.12459498755808
277,Charadrius placidus,,1630616,Charadriiformes,Charadriidae,62.7,Carnivore,Aquatic predator,Terrestrial,2370427.23,Riverine,3,3,111.12459498682747
278,Amazona festiva,,244075,Psittaciformes,Psittacidae,430.0,Herbivore,Frugivore,Insessorial,814389.0,Forest,1,1,111.1245949867785
279,Ptilonorhynchus violaceus,,28724,Passeriformes,Ptilonorhynchidae,218.91,Omnivore,Omnivore,Insessorial,523221.88,Forest,1,1,111.1245949875174
280,Calidris ferruginea,,217133,Charadriiformes,Scolopacidae,58.08,Carnivore,Aquatic predator,Terrestrial,1198699.06,Coastal,3,3,111.1245949863292
281,Amazona barbadensis,,229553,Psittaciformes,Psittacidae,270.0,Herbivore,Omnivore,Insessorial,4372.04,Shrubland,2,1,111.12459498673832
282,Calidris pugnax,Philomachus pugnax,198806,Charadriiformes,Scolopacidae,131.68,Carnivore,Aquatic predator,Terrestrial,8562266.88,Wetland,3,3,111.12459498699609
283,Cyanopica cyanus,,193059,Passeriformes,Corvidae,95.91,Omnivore,Omnivore,Generalist,4927539.01,Woodland,2,1,111.12459498663982
284,Psittacula derbiana,,57074,Psittaciformes,Psittacidae,251.0,Herbivore,Omnivore,Insessorial,332466.75,Forest,1,1,111.12459498658096
285,Somateria spectabilis,,203439,Anseriformes,Anatidae,1616.71,Carnivore,Aquatic predator,Aquatic,3200134.05,Marine,3,3,111.12459498658596
286,Turdus dissimilis,,357738,Passeriformes,Turdidae,74.99,Omnivore,Invertivore,Generalist,752193.68,Forest,1,1,111.12459498769924
287,Antigone vipio,Grus vipio,2717088,Gruiformes,Gruidae,4662.99,Herbivore,Omnivore,Terrestrial,748047.17,Wetland,3,3,111.12459498699609
288,Chlidonias leucopterus,,297806,Charadriiformes,Laridae,54.2,Carnivore,Aquatic predator,Aerial,10229425.04,Wetland,3,3,111.12459498643804
289,Calidris alpina,,8919,Charadriiformes,Scolopacidae,51.89,Carnivore,Aquatic predator,Terrestrial,4754236.34,Wetland,3,3,111.1245949861936
290,Turdus migratorius,,9188,Passeriformes,Turdidae,78.5,Omnivore,Invertivore,Generalist,16457967.86,Forest,3,3,111.12459498764385
291,Poicephalus cryptoxanthus,,234075,Psittaciformes,Psittacidae,140.0,Herbivore,Omnivore,Insessorial,1182606.67,Woodland,3,1,111.1245949868396
292,Podargus strigoides,,8905,Caprimulgiformes,Podargidae,308.03,Carnivore,Invertivore,Insessorial,7674636.86,Forest,1,1,111.1245949878371
293,Butorides striata,,433628,Pelecaniformes,Ardeidae,201.5,Carnivore,Aquatic predator,Terrestrial,46142630.38,Wetland,3,1,111.12459498736234
294,Pandion haliaetus,,56262,Accipitriformes,Pandionidae,1483.2,Carnivore,Aquatic predator,Aerial,31298390.01,Marine,3,3,111.1245949867436
295,Chloephaga poliocephala,,541009,Anseriformes,Anatidae,2007.14,Herbivore,Herbivore terrestrial,Terrestrial,389825.64,Grassland,3,2,111.12459498650048
296,Anser anser,,8843,Anseriformes,Anatidae,3302.41,Herbivore,Herbivore terrestrial,Terrestrial,13285537.12,Wetland,3,3,111.12459498667975
297,Gyps himalayensis,,36248,Accipitriformes,Accipitridae,9797.95,Scavenger,Scavenger,Terrestrial,3859146.13,Rock,3,1,111.1245949879989
298,Tringa nebularia,,171270,Charadriiformes,Scolopacidae,187.0,Carnivore,Aquatic predator,Terrestrial,12134126.53,Wetland,3,3,111.12459498657668
299,Poephila personata,,522439,Passeriformes,Estrildidae,13.0,Herbivore,Granivore,Generalist,972681.31,Woodland,3,2,111.12459498678628
300,Buteo rufinus rufinus,Buteo rufinus,116585,Accipitriformes,Accipitridae,1166.18,Carnivore,Vertivore,Generalist,8574436.83,Grassland,3,3,111.1245949875138
301,Amazona arausiaca,,241563,Psittaciformes,Psittacidae,500.0,Herbivore,Frugivore,Insessorial,73.86,Forest,1,1,111.12459498681991
302,Strix aluco,,111821,Strigiformes,Strigidae,472.46,Carnivore,Vertivore,Insessorial,14464131.31,Forest,1,1,111.1245949878581
303,Lophochroa leadbeateri,Cacatua leadbeateri,471713,Psittaciformes,Cacatuidae,396.83,Herbivore,Granivore,Insessorial,2876175.43,Shrubland,2,1,111.12459498699609
304,Cacatua galerita eleonora,Cacatua galerita,1548957,Psittaciformes,Cacatuidae,720.43,Herbivore,Omnivore,Insessorial,3905044.34,Forest,1,1,111.12459498735812
305,Primolius couloni,,178893,Psittaciformes,Psittacidae,250.0,Herbivore,Omnivore,Insessorial,649262.51,Forest,1,1,111.12459498703772
306,Fratercula corniculata,,28702,Charadriiformes,Alcidae,536.14,Carnivore,Aquatic predator,Aquatic,1467964.71,Marine,3,3,111.12459498650315
307,Psittacula eupatria,,232655,Psittaciformes,Psittacidae,214.0,Herbivore,Omnivore,Insessorial,3223422.66,Forest,1,1,111.12459498666853
308,Aquila adalberti,,52408,Accipitriformes,Accipitridae,2958.03,Carnivore,Vertivore,Generalist,131221.76,Woodland,1,2,111.1245949867823
309,Pitangus sulphuratus,,371930,Passeriformes,Tyrannidae,62.85,Carnivore,Omnivore,Insessorial,16133982.75,Human Modified,3,1,111.12459498730168
310,Falco sparverius,,56350,Falconiformes,Falconidae,114.61,Carnivore,Omnivore,Insessorial,26638648.91,Grassland,3,3,111.12459498654646
311,Falcunculus frontatus,,254539,Passeriformes,,27.94,Carnivore,Invertivore,Insessorial,1103930.56,Woodland,1,1,111.12459498650468
312,Mareca falcata,Anas falcata,75844,Anseriformes,Anatidae,645.83,Herbivore,Herbivore aquatic,Aquatic,5490157.81,Wetland,3,3,111.12459498699609
313,Melanitta nigra,,198027,Anseriformes,Anatidae,1049.98,Carnivore,Aquatic predator,Aquatic,8189700.24,Wetland,3,3,111.12459498664649
314,Calyptorhynchus banksii,,35551,Psittaciformes,Cacatuidae,721.9,Herbivore,Granivore,Insessorial,2798975.2,Forest,2,1,111.12459498728298
315,Otus scops,,126827,Strigiformes,Strigidae,92.0,Carnivore,Invertivore,Insessorial,8787736.92,Woodland,2,3,111.12459498798928
316,Triclaria malachitacea,,303326,Psittaciformes,Psittacidae,90.0,Herbivore,Omnivore,Insessorial,30242.84,Forest,1,1,111.12459498683056
317,Leucocarbo bougainvillii,Phalacrocorax bougainvillii,146616,Suliformes,Phalacrocoracidae,2485.0,Carnivore,Aquatic predator,Aquatic,465608.86,Marine,3,1,111.12459498699609
318,Eopsaltria australis,,44318,Passeriformes,Petroicidae,20.15,Carnivore,Invertivore,Insessorial,1174338.84,Shrubland,2,1,111.12459498786946
319,Anser caerulescens,Chen caerulescens,8849,Anseriformes,Anatidae,2636.15,Herbivore,Herbivore terrestrial,Terrestrial,582038.07,Grassland,3,3,111.12459498699609
320,Pyrrhura molinae,,311895,Psittaciformes,Psittacidae,77.09,Herbivore,Frugivore,Insessorial,675243.93,Woodland,2,1,111.12459498687755
321,Troglodytes troglodytes,,36278,Passeriformes,Certhiidae,9.74,Carnivore,Invertivore,Insessorial,20939529.72,Forest,1,3,111.1245949870758
322,Pelecanus philippensis,,459765,Pelecaniformes,Pelecanidae,5010.98,Carnivore,Aquatic predator,Aquatic,1380714.42,Wetland,3,1,111.12459498802518
323,Gallinula chloropus,,9123,Gruiformes,Rallidae,339.63,Omnivore,Omnivore,Terrestrial,52285238.85,Wetland,3,1,111.12459498644802
324,Lanius schach,,276763,Passeriformes,Laniidae,51.51,Carnivore,Invertivore,Insessorial,11170512.1,Shrubland,2,2,111.1245949867761
325,Acanthorhynchus tenuirostris,,266336,Passeriformes,Meliphagidae,10.44,Omnivore,Nectarivore,Insessorial,763502.74,Forest,2,1,111.12459498766373
326,Anas crecca,,75839,Anseriformes,Anatidae,341.89,Herbivore,Herbivore aquatic,Aquatic,31784516.68,Wetland,3,2,111.12459498656531
327,Lophura leucomelanos,,140445,Galliformes,Phasianidae,867.98,Omnivore,Omnivore,Terrestrial,1305465.96,Forest,1,1,111.12459498643211
328,Anas rubripes,,75857,Anseriformes,Anatidae,1240.96,Omnivore,Herbivore aquatic,Aquatic,4118764.61,Wetland,3,2,111.12459498653496
329,Pygoscelis papua,,30457,Sphenisciformes,Spheniscidae,5932.95,Carnivore,Aquatic predator,Aquatic,31443.71,Marine,3,2,111.1245949873357
330,Sporophila angolensis,Dendroica coronata,2578067,Passeriformes,Thraupidae,11.94,Carnivore,Invertivore,Insessorial,9938581.44,Forest,1,3,111.12459498699609
331,Aythya ferina,,219593,Anseriformes,Anatidae,822.99,Herbivore,Herbivore aquatic,Aquatic,16611109.18,Wetland,3,1,111.12459498657182
332,Cygnus olor,,8869,Anseriformes,Anatidae,10682.04,Herbivore,Herbivore aquatic,Aquatic,4915289.2,Wetland,3,3,111.1245949865825
333,Leucopsar rothschildi,,127929,Passeriformes,Sturnidae,91.3,Omnivore,Omnivore,Insessorial,37.61,Woodland,2,1,111.12459498727864
334,Pyrrhura griseipectus,,311890,Psittaciformes,Psittacidae,75.9,Herbivore,Omnivore,Insessorial,686.2,Forest,1,1,111.12459498682767
335,Alectoris graeca,,40178,Galliformes,Phasianidae,594.11,Herbivore,Herbivore terrestrial,Terrestrial,538497.96,Rock,3,1,111.12459498648988
336,Phylloscopus inornatus,,56436,Passeriformes,Phylloscopidae,6.59,Carnivore,Invertivore,Insessorial,10713136.25,Woodland,1,3,111.12459498665092
337,Himantopus mexicanus,,227231,Charadriiformes,Recurvirostridae,176.82,Carnivore,Aquatic predator,Terrestrial,9529678.04,Wetland,3,2,111.12459498736622
338,Rynchops niger,,227184,Charadriiformes,Laridae,297.73,Carnivore,Aquatic predator,Aerial,13769340.5,Riverine,3,2,111.12459498605
339,Himatione sanguinea,,64801,Passeriformes,Fringillidae,15.17,Herbivore,Nectarivore,Insessorial,16390.65,Forest,1,1,111.12459498740604
340,Colinus virginianus ridgwayi,Colinus virginianus,2542735,Galliformes,Odontophoridae,171.89,Herbivore,Omnivore,Terrestrial,4364464.18,Human Modified,2,1,111.124594986524
341,Pyrrhula pyrrhula,,37607,Passeriformes,Fringillidae,24.26,Herbivore,Omnivore,Insessorial,17864017.39,Forest,2,1,111.12459498738744
342,Uria aalge,,13746,Charadriiformes,Alcidae,991.93,Carnivore,Aquatic predator,Aquatic,1547284.08,Marine,3,3,111.12459498645688
343,Agapornis personatus,,60466,Psittaciformes,Psittacidae,52.38,Herbivore,Granivore,Terrestrial,203564.0,Shrubland,2,1,111.12459498676644
344,Serinus pusillus,,163852,Passeriformes,Fringillidae,11.54,Herbivore,Granivore,Terrestrial,1833803.31,Rock,1,2,111.12459498736268
345,Anser cygnoides domesticus,Anser cygnoides,8845,Anseriformes,Anatidae,3511.94,Herbivore,Herbivore terrestrial,Terrestrial,2166055.01,Wetland,3,3,111.12459498668072
346,Cardinalis cardinalis,,98964,Passeriformes,Cardinalidae,42.64,Herbivore,Omnivore,Insessorial,5834572.06,Shrubland,2,1,111.12459498699128
347,Ploceus vitellinus,,441713,Passeriformes,Ploceidae,20.0,Herbivore,Granivore,Insessorial,4213194.63,Shrubland,3,1,111.12459498685712
348,Copsychus malabaricus,,1948888,Passeriformes,Muscicapidae,29.23,Carnivore,Invertivore,Insessorial,,Forest,1,1,111.1245949876076
349,Cairina moschata,,8855,Anseriformes,Anatidae,2415.78,Omnivore,Omnivore,Generalist,14188216.55,Wetland,3,1,111.12459498657272
350,Bonasa umbellus,,9000,Galliformes,Phasianidae,530.91,Herbivore,Herbivore terrestrial,Generalist,8071254.33,Shrubland,1,1,111.12459498654206
351,Guaruba guarouba,,51906,Psittaciformes,Psittacidae,194.0,Herbivore,Frugivore,Insessorial,261029.65,Forest,1,1,111.12459498699242
352,Emberiza chrysophrys,,504295,Passeriformes,Fringillidae,17.97,Omnivore,Omnivore,Terrestrial,2478480.52,Forest,2,3,111.12459498704668
353,Anous tenuirostris,,297803,Charadriiformes,Laridae,112.0,Carnivore,Aquatic predator,Aerial,177139.92,Marine,3,2,111.12459498627476
354,Buteo swainsoni,,156757,Accipitriformes,Accipitridae,946.61,Carnivore,Vertivore,Insessorial,4303055.16,Grassland,3,3,111.12459498743048
355,Buteo jamaicensis,,56263,Accipitriformes,Accipitridae,1101.16,Carnivore,Vertivore,Insessorial,15462822.34,Woodland,2,3,111.12459498744543
356,Phoebastria immutabilis,,54020,Procellariiformes,Diomedeidae,3145.93,Carnivore,Aquatic predator,Aquatic,45350856.11,Marine,3,2,111.1245949869385
357,Larus delawarensis,,126683,Charadriiformes,Laridae,516.31,Carnivore,Omnivore,Terrestrial,5396423.36,Coastal,3,2,111.12459498647772
358,Passer montanus,,9160,Passeriformes,Passeridae,21.39,Omnivore,Granivore,Terrestrial,39069801.39,Woodland,2,1,111.1245949877229
359,Passerina cyanea,,84843,Passeriformes,Cardinalidae,14.69,Herbivore,Granivore,Terrestrial,5700834.65,Shrubland,2,3,111.12459498705527
